Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,932.25,945.0,931.8,941.6,933.75,3498198,3284124090.3,958.9,618.25,938.8,1624181,46.43,EQ
2023-01-03,944.75,965.6,942.6,962.3,941.6,6927819,6630632307.0,965.6,618.25,957.1,2468372,35.63,EQ
2023-01-04,963.5,970.0,955.0,957.45,962.3,9059392,8724557855.4,970.0,618.25,963.04,4227420,46.66,EQ
2023-01-05,960.0,961.9,938.25,949.55,957.45,6998980,6637695128.0,970.0,618.25,948.38,4031954,57.61,EQ
2023-01-06,946.55,950.95,934.3,939.9,949.55,5787783,5443336337.1,970.0,618.25,940.49,3538528,61.14,EQ
2023-01-09,946.8,960.0,941.35,958.75,939.9,7025747,6698047557.75,970.0,618.25,953.36,4571488,65.07,EQ
2023-01-10,964.0,964.0,942.75,952.15,958.75,7140150,6795083848.5,970.0,618.25,951.67,4138716,57.96,EQ
2023-01-11,953.0,955.75,942.8,949.75,952.15,7100355,6739016954.65,970.0,618.25,949.11,4389339,61.82,EQ
2023-01-12,949.35,949.7,924.0,935.55,949.75,8661375,8079129127.55,970.0,618.25,932.78,4721943,54.52,EQ
2023-01-13,935.5,937.45,923.0,934.15,935.55,9083608,8450531726.75,970.0,618.25,930.31,5876038,64.69,EQ
2023-01-16,940.45,941.75,911.7,913.15,934.15,10008273,9222415307.55,970.0,618.25,921.48,6672508,66.67,EQ
2023-01-17,914.95,919.7,906.7,917.7,913.15,6904960,6307663794.55,970.0,618.25,913.5,3883097,56.24,EQ
2023-01-18,921.9,925.6,913.25,924.0,917.7,5730939,5272505587.6,970.0,618.25,920.01,3384383,59.05,EQ
2023-01-19,923.6,938.0,920.75,928.7,924.0,7721730,7180977050.05,970.0,618.25,929.97,4188866,54.25,EQ
2023-01-20,931.25,934.85,924.65,930.55,928.7,4511360,4198347256.55,970.0,618.25,930.62,2221863,49.25,EQ
2023-01-23,936.0,939.7,924.45,932.7,930.55,5236124,4881241388.05,970.0,618.25,932.22,2830172,54.05,EQ
2023-01-24,935.0,935.0,903.75,910.2,932.7,18527897,16977623877.2,970.0,618.25,916.33,9565830,51.63,EQ
2023-01-25,905.0,907.45,884.2,892.35,910.2,11921748,10674665887.0,970.0,618.25,895.39,6305290,52.89,EQ
2023-01-27,892.35,892.5,851.0,873.75,892.35,17300736,15052649408.95,970.0,618.25,870.06,10611480,61.34,EQ
2023-01-30,851.9,885.5,846.15,871.85,873.75,21233998,18399695455.6,970.0,618.25,866.52,12623042,59.45,EQ
