Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,1550.0,1560.0,1528.55,1552.5,1547.85,1061404,1639626458.45,18621.0,1483.15,1544.77,325301,30.65,EQ
2023-01-03,1549.0,1570.0,1544.05,1563.0,1552.5,1306648,2038193665.65,18621.0,1483.15,1559.86,442157,33.84,EQ
2023-01-04,1562.0,1567.35,1540.4,1547.85,1563.0,1036103,1607844855.85,18621.0,1483.15,1551.82,366984,35.42,EQ
2023-01-05,1548.0,1548.0,1454.7,1468.85,1547.85,5979381,8825962220.15,18621.0,1454.7,1476.07,2088111,34.92,EQ
2023-01-06,1473.55,1473.55,1423.0,1430.35,1468.85,5207616,7492271472.0,18621.0,1423.0,1438.71,2206287,42.37,EQ
2023-01-09,1447.0,1450.9,1408.65,1414.0,1430.35,4513767,6427738874.8,18621.0,1408.65,1424.03,2649568,58.7,EQ
2023-01-10,1429.0,1429.0,1391.0,1413.3,1414.0,2903001,4074826830.55,18621.0,1391.0,1403.66,994256,34.25,EQ
2023-01-11,1418.0,1422.85,1397.05,1399.7,1413.3,2327598,3271082656.1,18621.0,1391.0,1405.35,918017,39.44,EQ
2023-01-12,1405.0,1414.95,1379.0,1387.8,1399.7,3168742,4416587510.5,18621.0,1379.0,1393.8,1285158,40.56,EQ
2023-01-13,1394.75,1399.85,1374.35,1391.15,1387.8,3754686,5201720976.2,18621.0,1374.35,1385.39,2225971,59.29,EQ
2023-01-16,1398.15,1418.45,1379.2,1383.9,1391.15,3480545,4857920516.4,18621.0,1374.35,1395.74,1509154,43.36,EQ
2023-01-17,1389.0,1391.6,1353.95,1372.9,1383.9,3681802,5043064177.9,18621.0,1353.95,1369.73,2024055,54.97,EQ
2023-01-18,1379.8,1380.0,1365.0,1367.3,1372.9,2589016,3549392389.05,18621.0,1353.95,1370.94,1560225,60.26,EQ
2023-01-19,1365.0,1365.95,1348.1,1355.15,1367.3,1910318,2589078436.2,18621.0,1348.1,1355.31,857432,44.88,EQ
2023-01-20,1360.0,1361.65,1326.55,1333.2,1355.15,2091612,2811228062.15,18621.0,1326.55,1344.05,1007140,48.15,EQ
2023-01-23,1330.0,1345.0,1319.55,1332.75,1333.2,1832743,2447102769.4,17845.0,1319.55,1335.21,784453,42.8,EQ
2023-01-24,1336.25,1349.0,1329.55,1332.7,1332.75,1311451,1755592648.05,17845.0,1319.55,1338.66,501511,38.24,EQ
2023-01-25,1334.9,1334.9,1310.0,1314.35,1332.7,1549899,2044695636.7,17845.0,1310.0,1319.24,658901,42.51,EQ
2023-01-27,1315.1,1336.15,1302.05,1314.2,1314.35,1829556,2410414476.5,17845.0,1302.05,1317.49,751715,41.09,EQ
2023-01-30,1320.8,1360.0,1317.85,1343.85,1314.2,4411750,5919967962.9,17845.0,1302.05,1341.86,1564162,35.45,EQ
2023-01-31,1354.4,1357.15,1323.8,1342.45,1343.85,2213909,2975469297.5,17845.0,1302.05,1343.99,1110325,50.15,EQ
2023-02-01,1348.0,1360.0,1246.85,1268.3,1342.45,4761664,6154553052.35,17845.0,1246.85,1292.52,1915068,40.22,EQ
2023-02-02,1269.0,1288.65,1252.1,1271.9,1268.3,2419664,3070160411.5,17845.0,1246.85,1268.84,977656,40.4,EQ
2023-02-03,1305.0,1340.8,1281.3,1337.45,1271.9,3271913,4301714675.05,17845.0,1246.85,1314.74,1119479,34.21,EQ
2023-02-06,1337.45,1349.0,1322.1,1343.05,1337.45,1546926,2068593285.65,17845.0,1246.85,1337.23,519267,33.57,EQ
2023-02-07,1345.15,1362.35,1337.1,1350.4,1343.05,1604424,2165610041.35,17845.0,1246.85,1349.77,630599,39.3,EQ
2023-02-08,1356.95,1377.0,1345.2,1368.9,1350.4,1516979,2070940562.1,17845.0,1246.85,1365.17,472256,31.13,EQ
2023-02-09,1370.0,1409.9,1356.65,1400.25,1368.9,2593600,3612492504.3,17845.0,1246.85,1392.85,681048,26.26,EQ
2023-02-10,1406.0,1418.65,1394.0,1401.75,1400.25,2069492,2914164346.1,17845.0,1246.85,1408.15,802072,38.76,EQ
2023-02-13,1404.0,1415.0,1381.75,1388.55,1401.75,1467695,2044535808.85,17845.0,1246.85,1393.02,577444,39.34,EQ
2023-02-14,1390.0,1405.0,1373.65,1398.6,1388.55,1390992,1937624862.1,17845.0,1246.85,1392.98,420016,30.2,EQ
2023-02-15,1398.0,1423.95,1388.05,1420.8,1398.6,1518171,2140406379.25,17845.0,1246.85,1409.86,742919,48.94,EQ
2023-02-16,1429.0,1435.0,1413.05,1428.2,1420.8,2153424,3072292819.75,17845.0,1246.85,1426.7,1217581,56.54,EQ
2023-02-17,1420.05,1427.2,1410.0,1414.05,1428.2,994199,1410895924.85,17845.0,1246.85,1419.13,424113,42.66,EQ
2023-02-20,1418.0,1425.8,1400.8,1404.6,1414.05,993735,1403381008.6,17845.0,1246.85,1412.23,318828,32.08,EQ
2023-02-21,1409.4,1409.4,1390.0,1394.3,1404.6,1117177,1562708057.55,17845.0,1246.85,1398.8,439929,39.38,EQ
2023-02-22,1389.9,1392.0,1356.0,1360.95,1394.3,1402505,1918614638.5,17845.0,1246.85,1367.99,528443,37.68,EQ
2023-02-23,1362.0,1365.95,1341.0,1346.95,1360.95,1095460,1481785438.65,17845.0,1246.85,1352.66,320122,29.22,EQ
2023-02-24,1353.7,1386.0,1350.35,1359.0,1346.95,1342454,1833944532.55,17845.0,1246.85,1366.11,245491,18.29,EQ
2023-02-27,1357.95,1367.25,1345.0,1357.4,1359.0,972575,1318065796.05,17845.0,1246.85,1355.23,312019,32.08,EQ
2023-02-28,1364.2,1371.9,1330.0,1334.9,1357.4,1597380,2151716272.15,17845.0,1246.85,1347.03,811015,50.77,EQ
2023-03-01,1335.7,1360.0,1334.9,1343.9,1334.9,1134472,1530004094.15,17845.0,1246.85,1348.65,477106,42.06,EQ
2023-03-02,1375.0,1385.95,1337.2,1343.55,1343.9,3267851,4427702197.7,17845.0,1246.85,1354.93,763458,23.36,EQ
2023-03-03,1357.0,1364.45,1346.1,1355.35,1343.55,1199487,1624116141.5,17845.0,1246.85,1354.01,357477,29.8,EQ
2023-03-06,1357.25,1399.45,1357.25,1380.8,1355.35,2466703,3416328106.15,17845.0,1246.85,1384.98,885547,35.9,EQ
2023-03-08,1375.0,1383.8,1357.9,1380.8,1380.8,1557533,2134224526.55,17845.0,1246.85,1370.26,700947,45.0,EQ
2023-03-09,1378.0,1378.95,1350.0,1352.55,1380.8,1545024,2106279181.25,17845.0,1246.85,1363.27,630894,40.83,EQ
2023-03-10,1340.0,1342.0,1321.05,1328.85,1352.55,1389890,1849568565.7,17845.0,1246.85,1330.73,460954,33.16,EQ
2023-03-13,1326.0,1341.2,1291.9,1295.7,1328.85,1668502,2190521564.45,17845.0,1246.85,1312.87,610772,36.61,EQ
2023-03-14,1300.0,1302.3,1269.0,1280.55,1295.7,2060607,2646986943.8,17845.0,1246.85,1284.57,729521,35.4,EQ
2023-03-15,1290.0,1309.7,1278.0,1282.6,1280.55,1376141,1779308231.2,17845.0,1246.85,1292.97,445147,32.35,EQ
2023-03-16,1285.5,1304.0,1270.55,1293.6,1282.6,1539281,1978312058.35,17845.0,1246.85,1285.22,424223,27.56,EQ
2023-03-17,1304.95,1316.3,1293.0,1301.75,1293.6,1332869,1734148385.95,17845.0,1246.85,1301.06,430009,32.26,EQ
2023-03-20,1305.0,1307.95,1231.0,1245.4,1301.75,3970911,4974723183.05,17845.0,1231.0,1252.79,1613753,40.64,EQ
2023-03-21,1259.0,1271.5,1248.6,1268.1,1245.4,2333183,2939076405.6,17845.0,1231.0,1259.69,701280,30.06,EQ
