Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,6565.0,6610.0,6484.75,6553.75,6575.2,579340,3792140039.5,8045.0,5220.0,6545.62,105116,18.14,EQ
2023-01-03,6565.0,6660.0,6530.0,6606.25,6553.75,742081,4906113865.25,8045.0,5220.0,6611.29,175089,23.59,EQ
2023-01-04,6595.0,6638.0,6550.0,6571.0,6606.25,671253,4421875810.25,8045.0,5220.0,6587.5,217994,32.48,EQ
2023-01-05,6490.0,6490.0,6025.05,6100.05,6571.0,5102300,31310412193.9,8045.0,5220.0,6136.53,1909084,37.42,EQ
2023-01-06,6130.0,6139.95,5941.6,5980.4,6100.05,2931922,17642442150.3,8045.0,5220.0,6017.36,1053817,35.94,EQ
2023-01-09,6020.0,6078.0,5955.0,5993.35,5980.4,1400548,8428442383.75,8045.0,5220.0,6017.96,584720,41.75,EQ
2023-01-10,5999.0,6015.0,5875.0,5904.15,5993.35,1120375,6634851436.7,8045.0,5220.0,5921.99,463499,41.37,EQ
2023-01-11,5930.0,5949.0,5865.55,5895.75,5904.15,1108891,6542496274.4,8045.0,5220.0,5900.04,517989,46.71,EQ
2023-01-12,5906.55,5964.9,5857.0,5898.4,5895.75,1476949,8709989579.65,8045.0,5220.0,5897.29,775580,52.51,EQ
2023-01-13,5920.0,5985.0,5872.0,5977.8,5898.4,1108490,6576552470.6,8045.0,5220.0,5932.89,556339,50.19,EQ
2023-01-16,6000.0,6072.2,5974.55,6010.9,5977.8,908339,5473373946.45,8045.0,5220.0,6025.7,283140,31.17,EQ
2023-01-17,6019.95,6019.95,5940.0,5984.95,6010.9,817005,4878444987.8,8045.0,5220.0,5971.13,371742,45.5,EQ
2023-01-18,6003.95,6049.0,5985.0,5998.65,5984.95,796281,4787023464.1,8045.0,5220.0,6011.73,382803,48.07,EQ
2023-01-19,5983.0,6029.65,5960.65,6012.45,5998.65,548142,3290483150.35,8045.0,5220.0,6002.98,191744,34.98,EQ
2023-01-20,6012.5,6019.75,5837.2,5860.4,6012.45,833090,4928558798.0,8045.0,5220.0,5916.0,390050,46.82,EQ
2023-01-23,5881.0,5935.0,5841.0,5863.0,5860.4,856064,5039478100.95,7778.0,5220.0,5886.8,476370,55.65,EQ
2023-01-24,5892.35,5921.0,5842.65,5855.05,5863.0,608145,3570909278.5,7778.0,5220.0,5871.81,256895,42.24,EQ
2023-01-25,5850.05,5855.05,5777.0,5795.9,5855.05,827837,4809934249.3,7778.0,5220.0,5810.24,411050,49.65,EQ
2023-01-27,5815.0,5861.55,5680.0,5760.7,5795.9,1621352,9347695519.85,7778.0,5220.0,5765.37,861617,53.14,EQ
2023-01-30,5770.05,6066.2,5770.05,6021.8,5760.7,2448160,14657351662.8,7778.0,5220.0,5987.09,922903,37.7,EQ
2023-01-31,6050.0,6050.0,5874.0,5886.4,6021.8,1996788,11794332742.4,7778.0,5220.0,5906.65,1269568,63.58,EQ
2023-02-01,5944.0,5980.4,5708.9,5817.2,5886.4,2634866,15505814594.55,7778.0,5220.0,5884.86,1117463,42.41,EQ
