Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,1039.1,1042.5,1031.5,1039.45,1039.3,701880,728302578.75,1359.4,877.35,1037.65,343818,48.99,EQ
2023-01-03,1039.0,1045.8,1033.5,1041.35,1039.45,2484372,2587457931.55,1359.4,877.35,1041.49,1944736,78.28,EQ
2023-01-04,1036.2,1042.0,1031.5,1036.6,1041.35,1219170,1263469737.8,1359.4,877.35,1036.34,780222,64.0,EQ
2023-01-05,1041.8,1049.8,1033.1,1044.1,1036.6,2294943,2393596289.4,1359.4,877.35,1042.99,1641855,71.54,EQ
2023-01-06,1044.0,1047.9,1025.25,1032.8,1044.1,1887689,1955930218.4,1359.4,877.35,1036.15,1397403,74.03,EQ
2023-01-09,1044.95,1071.0,1040.05,1067.45,1032.8,4562242,4837255672.15,1359.4,877.35,1060.28,2871591,62.94,EQ
2023-01-10,1061.0,1072.6,1056.3,1063.85,1067.45,2297082,2440740834.5,1359.4,877.35,1062.54,1617663,70.42,EQ
2023-01-11,1069.0,1079.6,1050.55,1054.8,1063.85,3594167,3823863428.7,1359.4,877.35,1063.91,2439255,67.87,EQ
2023-01-12,1061.0,1074.5,1061.0,1071.65,1054.8,4748542,5078543907.95,1359.4,877.35,1069.5,3160712,66.56,EQ
2023-01-13,1043.9,1084.0,1041.0,1077.8,1071.65,8253765,8778070462.75,1359.4,877.35,1063.52,3742386,45.34,EQ
2023-01-16,1087.0,1100.45,1078.55,1093.7,1077.8,4508538,4932002137.25,1273.0,877.35,1093.92,2611142,57.92,EQ
2023-01-17,1097.9,1113.95,1095.0,1111.05,1093.7,4390338,4872559053.4,1273.0,877.35,1109.84,2847277,64.85,EQ
2023-01-18,1118.95,1125.85,1114.1,1115.15,1111.05,6905092,7731604768.35,1273.0,877.35,1119.7,5531056,80.1,EQ
2023-01-19,1102.35,1113.35,1098.75,1111.4,1115.15,2298287,2551354056.3,1273.0,877.35,1110.11,1583315,68.89,EQ
2023-01-20,1111.05,1121.4,1107.05,1107.8,1111.4,4747128,5299135383.4,1273.0,877.35,1116.28,3699743,77.94,EQ
2023-01-23,1111.0,1122.9,1108.15,1121.2,1107.8,1696834,1890813072.5,1215.0,877.35,1114.32,1136786,66.99,EQ
2023-01-24,1125.9,1143.7,1121.2,1137.85,1121.2,4861107,5519373238.2,1215.0,877.35,1135.41,3575965,73.56,EQ
2023-01-25,1134.85,1134.85,1116.75,1122.75,1137.85,2692236,3026013455.55,1215.0,877.35,1123.98,2036462,75.64,EQ
2023-01-27,1122.75,1134.3,1105.0,1115.6,1122.75,3864525,4345065120.35,1215.0,877.35,1124.35,2893480,74.87,EQ
2023-01-30,1115.6,1139.95,1105.8,1134.75,1115.6,3508427,3950491624.5,1215.0,877.35,1126.0,2630253,74.97,EQ
2023-01-31,1136.0,1137.7,1113.0,1122.2,1134.75,4582858,5140206302.5,1215.0,877.35,1121.62,3299434,72.0,EQ
2023-02-01,1137.0,1137.0,1114.45,1132.1,1122.2,2393911,2701844990.25,1215.0,877.35,1128.63,1651054,68.97,EQ
2023-02-02,1137.8,1155.5,1135.0,1149.6,1132.1,3048359,3497626434.7,1215.0,877.35,1147.38,2031044,66.63,EQ
2023-02-03,1154.0,1156.65,1138.6,1146.15,1149.6,1814055,2079570969.0,1215.0,877.35,1146.37,1171406,64.57,EQ
2023-02-06,1135.2,1149.85,1128.0,1145.7,1146.15,2070175,2362661258.3,1215.0,877.35,1141.29,1401278,67.69,EQ
2023-02-07,1147.85,1153.0,1125.9,1128.25,1145.7,1931191,2192241382.6,1215.0,877.35,1135.18,1305066,67.58,EQ
2023-02-08,1133.9,1149.0,1132.7,1145.0,1128.25,2848255,3259405356.95,1215.0,877.35,1144.35,2149431,75.46,EQ
2023-02-09,1144.0,1152.0,1138.0,1146.35,1145.0,1501083,1721919846.8,1215.0,877.35,1147.12,1007561,67.12,EQ
2023-02-10,1125.8,1130.0,1100.0,1115.65,1146.35,3185163,3556058646.15,1215.0,877.35,1116.44,2033916,63.86,EQ
2023-02-13,1121.25,1121.25,1105.0,1113.0,1115.65,2009185,2234167850.9,1215.0,877.35,1111.98,1361912,67.78,EQ
2023-02-14,1121.0,1142.4,1118.0,1125.45,1113.0,3938046,4463690981.25,1215.0,877.35,1133.48,2774936,70.46,EQ
2023-02-15,1125.0,1134.6,1119.6,1132.9,1125.45,1648954,1859533039.65,1215.0,877.35,1127.7,976150,59.2,EQ
2023-02-16,1138.6,1152.15,1124.0,1128.15,1132.9,2369355,2700781965.6,1215.0,877.35,1139.88,1513748,63.89,EQ
2023-02-17,1121.7,1121.7,1107.55,1109.55,1128.15,1958807,2179900485.45,1215.0,877.35,1112.87,1200579,61.29,EQ
2023-02-20,1109.55,1134.7,1107.6,1115.7,1109.55,1706036,1914032513.05,1215.0,877.35,1121.92,651124,38.17,EQ
2023-02-21,1121.0,1122.05,1103.1,1105.2,1115.7,1313278,1460068420.7,1215.0,877.35,1111.77,826705,62.95,EQ
2023-02-22,1095.0,1105.55,1090.05,1092.6,1105.2,2212194,2426749219.65,1215.0,877.35,1096.99,1559008,70.47,EQ
2023-02-23,1104.8,1111.95,1092.5,1094.35,1092.6,2139983,2354332881.65,1215.0,877.35,1100.16,1175078,54.91,EQ
2023-02-24,1097.0,1104.5,1082.0,1094.85,1094.35,1684570,1842098940.0,1215.0,877.35,1093.51,990043,58.77,EQ
2023-02-27,1090.0,1090.0,1076.0,1083.95,1094.85,1834553,1985046185.2,1215.0,877.35,1082.03,1103551,60.15,EQ
2023-02-28,1083.5,1096.9,1068.1,1077.6,1083.95,20793703,22413955277.35,1215.0,877.35,1077.92,15353640,73.84,EQ
2023-03-01,1077.35,1104.0,1077.35,1101.1,1077.6,1655100,1812956336.6,1215.0,877.35,1095.38,982481,59.36,EQ
2023-03-02,1090.3,1117.0,1090.3,1105.95,1101.1,4074162,4504019446.65,1215.0,877.35,1105.51,2779589,68.22,EQ
2023-03-03,1115.0,1129.7,1111.05,1119.0,1105.95,3253621,3652487506.3,1215.0,877.35,1122.59,1846735,56.76,EQ
2023-03-06,1129.0,1148.0,1123.3,1126.7,1119.0,4091674,4639365710.4,1215.0,877.35,1133.86,2566849,62.73,EQ
2023-03-08,1112.0,1124.0,1107.3,1120.65,1126.7,3209393,3586533072.35,1215.0,877.35,1117.51,2110839,65.77,EQ
2023-03-09,1121.95,1126.7,1114.05,1116.65,1120.65,1834324,2050567520.35,1215.0,877.35,1117.89,1269114,69.19,EQ
2023-03-10,1105.0,1118.15,1105.0,1116.3,1116.65,1193681,1327462585.1,1215.0,877.35,1112.07,728776,61.05,EQ
2023-03-13,1120.95,1133.6,1095.0,1098.6,1116.3,3028387,3355081159.7,1215.0,877.35,1107.88,2004586,66.19,EQ
2023-03-14,1098.55,1103.4,1066.0,1084.05,1098.6,3683544,3982696683.95,1215.0,877.35,1081.21,2443601,66.34,EQ
2023-03-15,1095.05,1097.9,1075.5,1079.65,1084.05,1528510,1653425666.0,1215.0,877.35,1081.72,956080,62.55,EQ
2023-03-16,1083.95,1087.55,1069.65,1072.4,1079.65,1812907,1953341323.1,1215.0,877.35,1077.46,1167355,64.39,EQ
2023-03-17,1088.2,1117.1,1084.05,1108.45,1072.4,5350523,5913729156.85,1215.0,877.35,1105.26,3233746,60.44,EQ
2023-03-20,1105.0,1108.3,1086.25,1090.85,1108.45,2066169,2255992930.25,1209.9,877.35,1091.87,1365719,66.1,EQ
2023-03-21,1099.0,1102.4,1077.1,1083.9,1090.85,2421127,2622476614.85,1209.9,877.35,1083.16,1533733,63.35,EQ
2023-03-22,1091.95,1105.75,1079.05,1081.45,1083.9,1382329,1503810823.45,1209.9,877.35,1087.88,691299,50.01,EQ
2023-03-23,1077.0,1080.4,1061.0,1065.9,1081.45,2178855,2326655095.25,1209.9,877.35,1067.83,1398722,64.2,EQ
2023-03-24,1073.0,1090.0,1047.05,1051.75,1065.9,2688253,2849623447.9,1209.9,877.35,1060.03,1432397,53.28,EQ
2023-03-27,1053.3,1065.5,1044.8,1051.5,1051.75,1459887,1542401342.35,1203.0,877.35,1056.52,750103,51.38,EQ
2023-03-28,1056.8,1063.8,1039.35,1041.1,1051.5,2965015,3113093992.4,1203.0,877.35,1049.94,2259411,76.2,EQ
2023-03-29,1046.0,1070.0,1042.1,1067.5,1041.1,2478745,2620566395.8,1203.0,877.35,1057.22,1593179,64.27,EQ
2023-03-31,1083.4,1096.9,1069.4,1085.25,1067.5,3131614,3404479874.6,1203.0,877.35,1087.13,1994164,63.68,EQ
2023-04-03,1089.95,1099.25,1088.0,1098.15,1085.25,1540702,1685713240.7,1203.0,877.35,1094.12,1009847,65.54,EQ
2023-04-05,1085.35,1113.0,1066.15,1111.2,1098.15,3342291,3682197795.1,1203.0,877.35,1101.7,2296769,68.72,EQ
2023-04-06,1109.05,1109.05,1085.45,1091.85,1111.2,2378264,2605745056.8,1203.0,877.35,1095.65,1248026,52.48,EQ
2023-04-10,1091.85,1105.0,1091.5,1103.1,1091.85,711625,783315057.8,1164.0,877.35,1100.74,369554,51.93,EQ
2023-04-11,1104.0,1109.9,1085.0,1087.0,1103.1,2318905,2531835012.75,1164.0,877.35,1091.82,1688477,72.81,EQ
2023-04-12,1092.0,1097.45,1080.1,1094.5,1087.0,2715967,2959011929.7,1164.0,877.35,1089.49,1864745,68.66,EQ
2023-04-13,1089.0,1089.0,1063.0,1071.85,1094.5,3071057,3291754263.75,1164.0,877.35,1071.86,1866237,60.77,EQ
2023-04-17,1055.0,1055.0,1016.25,1042.2,1071.85,9509446,9831776989.95,1156.65,877.35,1033.9,6586221,69.26,EQ
2023-04-18,1049.55,1066.4,1045.2,1063.85,1042.2,3686404,3899141032.95,1156.65,877.35,1057.71,2274170,61.69,EQ
2023-04-19,1073.95,1073.95,1036.45,1038.7,1063.85,4322881,4515820685.35,1156.65,877.35,1044.63,2112729,48.87,EQ
2023-04-20,1040.0,1047.2,1031.85,1037.5,1038.7,3057560,3180483133.7,1156.65,877.35,1040.2,1769645,57.88,EQ
2023-04-21,1054.0,1074.0,1037.75,1048.95,1037.5,7708194,8095034951.85,1156.65,877.35,1050.19,2914966,37.82,EQ
2023-04-24,1057.0,1058.9,1046.0,1054.05,1048.95,2033625,2142052974.65,1156.65,877.35,1053.32,1165206,57.3,EQ
2023-04-25,1050.45,1058.8,1044.4,1053.45,1054.05,1237595,1303796456.65,1156.65,877.35,1053.49,636448,51.43,EQ
2023-04-26,1055.0,1067.0,1048.0,1065.55,1053.45,1647101,1748383034.7,1156.65,877.35,1061.49,991588,60.2,EQ
2023-04-27,1065.55,1075.0,1061.0,1071.25,1065.55,1654910,1768581761.9,1156.65,877.35,1068.69,1098733,66.39,EQ
2023-04-28,1059.95,1068.75,1053.75,1064.1,1071.25,2629188,2792764742.4,1156.65,877.35,1062.22,1639289,62.35,EQ
2023-05-02,1064.1,1074.8,1064.0,1067.55,1064.1,1905168,2035771158.6,1156.65,877.35,1068.55,1155923,60.67,EQ
2023-05-03,1062.0,1064.0,1055.0,1058.95,1067.55,1649820,1747015012.85,1156.65,877.35,1058.91,999843,60.6,EQ
2023-05-04,1056.05,1067.95,1048.3,1066.8,1058.95,1403672,1484555564.3,1156.65,877.35,1057.62,696871,49.65,EQ
2023-05-05,1066.8,1069.95,1052.1,1055.55,1066.8,1641673,1736851871.0,1156.65,877.35,1057.98,933830,56.88,EQ
2023-05-08,1058.0,1077.5,1055.0,1075.75,1055.55,1389075,1486013592.85,1156.65,877.35,1069.79,797433,57.41,EQ
2023-05-09,1071.0,1082.6,1066.05,1079.0,1075.75,2981949,3211215169.85,1156.65,877.35,1076.88,2275415,76.31,EQ
2023-05-10,1084.15,1088.8,1072.1,1078.3,1079.0,2091411,2255015815.65,1156.65,877.35,1078.23,1161236,55.52,EQ
2023-05-11,1082.15,1092.6,1080.05,1088.1,1078.3,2653108,2885933373.3,1156.65,877.35,1087.76,1619040,61.02,EQ
2023-05-12,1086.0,1103.4,1077.45,1095.5,1088.1,1585037,1734483908.15,1156.65,877.35,1094.29,822865,51.91,EQ
2023-05-15,1098.95,1105.95,1092.8,1099.75,1095.5,1523466,1677051002.45,1156.65,877.35,1100.81,959387,62.97,EQ
2023-05-16,1100.2,1105.3,1088.1,1090.7,1099.75,1166324,1279973836.95,1156.65,877.35,1097.44,782287,67.07,EQ
2023-05-17,1090.5,1093.95,1062.7,1074.55,1090.7,3602382,3865647209.3,1156.65,877.35,1073.08,2523444,70.05,EQ
2023-05-18,1081.95,1085.0,1073.0,1079.9,1074.55,1515743,1636042687.3,1156.65,877.35,1079.37,1055687,69.65,EQ
2023-05-19,1088.6,1104.0,1082.45,1095.35,1079.9,1984436,2176913033.2,1156.65,877.35,1096.99,887248,44.71,EQ
2023-05-22,1095.35,1121.9,1088.95,1119.85,1095.35,1864932,2073206300.2,1156.65,877.35,1111.68,1194094,64.03,EQ
2023-05-23,1120.0,1131.35,1104.0,1107.35,1119.85,2138096,2395512529.25,1156.65,877.35,1120.4,1366344,63.9,EQ
2023-05-24,1099.05,1115.0,1098.0,1111.95,1107.35,1302744,1445866136.65,1156.65,877.35,1109.86,768688,59.01,EQ
2023-05-25,1109.2,1118.25,1103.05,1116.0,1111.95,1124803,1251442829.8,1156.65,877.35,1112.59,636370,56.58,EQ
2023-05-26,1115.0,1140.35,1114.0,1139.2,1116.0,1635167,1853897610.15,1156.65,877.35,1133.77,948166,57.99,EQ
2023-05-29,1146.0,1147.95,1124.4,1126.2,1139.2,1288914,1457953796.9,1156.65,877.35,1131.15,706288,54.8,EQ
2023-05-30,1129.0,1144.0,1128.05,1135.85,1126.2,1983735,2256904373.1,1156.65,877.35,1137.7,1140731,57.5,EQ
2023-05-31,1134.8,1153.35,1132.1,1145.1,1135.85,5967930,6836737975.45,1156.65,877.35,1145.58,4575927,76.68,EQ
2023-06-01,1148.0,1155.15,1137.65,1141.9,1145.1,1445692,1654411967.75,1156.65,877.35,1144.37,933031,64.54,EQ
2023-06-02,1148.0,1151.1,1131.6,1137.05,1141.9,1336554,1521892024.8,1156.65,877.35,1138.67,888316,66.46,EQ
2023-06-05,1144.0,1148.5,1136.0,1138.3,1137.05,1435758,1639994941.15,1156.65,877.35,1142.25,1047933,72.99,EQ
2023-06-06,1130.0,1132.3,1113.75,1128.6,1138.3,1943605,2182129397.75,1156.65,877.35,1122.72,1300773,66.93,EQ
2023-06-07,1133.8,1133.8,1116.2,1129.05,1128.6,2459039,2772280815.05,1156.65,877.35,1127.38,1607718,65.38,EQ
2023-06-08,1129.05,1131.25,1118.3,1126.75,1129.05,1385218,1559239429.55,1156.65,877.35,1125.63,862289,62.25,EQ
2023-06-09,1129.1,1131.0,1105.95,1109.75,1126.75,1824218,2043216157.85,1156.65,877.35,1120.05,1334606,73.16,EQ
2023-06-12,1112.95,1140.95,1111.5,1139.65,1109.75,1670970,1895608384.1,1156.65,877.35,1134.44,876478,52.45,EQ
2023-06-13,1144.95,1144.95,1129.3,1131.3,1139.65,2014656,2285767398.2,1156.65,877.35,1134.57,1397652,69.37,EQ
2023-06-14,1138.0,1138.4,1126.05,1135.85,1131.3,836964,947761448.55,1156.65,877.35,1132.38,476569,56.94,EQ
2023-06-15,1140.0,1147.0,1136.55,1143.6,1135.85,2109652,2411793128.7,1156.65,877.35,1143.22,1435297,68.03,EQ
2023-06-16,1150.0,1154.25,1132.45,1148.2,1143.6,2909817,3336179844.45,1156.65,877.35,1146.53,1566532,53.84,EQ
2023-06-19,1148.2,1153.9,1135.45,1137.55,1148.2,1278608,1460188915.2,1156.65,877.35,1142.01,791185,61.88,EQ
2023-06-20,1133.0,1170.75,1132.5,1168.65,1137.55,3504867,4062076507.75,1170.75,877.35,1158.98,2026202,57.81,EQ
2023-06-21,1175.0,1175.7,1161.65,1170.45,1168.65,2019683,2359276029.5,1175.7,877.35,1168.14,1305508,64.64,EQ
2023-06-22,1170.15,1170.45,1158.85,1163.4,1170.45,972005,1131347499.2,1175.7,877.35,1163.93,532046,54.74,EQ
2023-06-23,1161.9,1170.55,1151.0,1165.15,1163.4,1699790,1974593261.05,1175.7,877.35,1161.67,978556,57.57,EQ
2023-06-26,1167.25,1175.95,1163.05,1167.5,1165.15,1190307,1391195506.75,1175.95,877.35,1168.77,705254,59.25,EQ
2023-06-27,1167.0,1174.45,1160.2,1170.0,1167.5,1504039,1757697164.75,1175.95,877.35,1168.65,1008883,67.08,EQ
2023-06-28,1173.45,1173.95,1166.5,1170.25,1170.0,1424076,1666842998.95,1175.95,877.35,1170.47,952723,66.9,EQ
2023-06-30,1170.35,1194.0,1165.0,1187.95,1170.25,3036648,3594666678.65,1194.0,877.35,1183.76,1471888,48.47,EQ
2023-07-03,1190.0,1195.0,1174.5,1181.6,1187.95,1749952,2069354371.4,1195.0,877.35,1182.52,1186499,67.8,EQ
2023-07-04,1182.0,1193.0,1178.55,1190.6,1181.6,1094468,1297711589.35,1195.0,877.35,1185.7,610202,55.75,EQ
2023-07-05,1194.0,1202.6,1187.6,1194.8,1190.6,1653610,1975977352.1,1202.6,877.35,1194.95,913758,55.26,EQ
2023-07-06,1194.8,1198.0,1174.95,1180.65,1194.8,2334220,2763467175.55,1202.6,877.35,1183.89,1550014,66.4,EQ
2023-07-07,1178.15,1182.95,1153.8,1157.6,1180.65,2159585,2518822313.4,1202.6,877.35,1166.35,1256812,58.2,EQ
2023-07-10,1160.0,1161.9,1120.0,1124.5,1157.6,3960400,4469893472.9,1202.6,877.35,1128.65,2235620,56.45,EQ
2023-07-11,1131.75,1131.75,1112.0,1114.9,1124.5,4982603,5566301233.9,1202.6,877.35,1117.15,3435427,68.95,EQ
2023-07-12,1119.7,1124.5,1102.45,1110.55,1114.9,3824027,4252101931.85,1202.6,877.35,1111.94,1922440,50.27,EQ
2023-07-13,1100.0,1124.4,1087.05,1108.8,1110.55,12294227,13593022758.55,1202.6,877.35,1105.64,5902441,48.01,EQ
2023-07-14,1114.2,1157.1,1111.55,1150.95,1108.8,6605038,7526743864.75,1202.6,877.35,1139.55,3009070,45.56,EQ
2023-07-17,1151.95,1172.0,1143.65,1153.75,1150.95,3159479,3666266112.6,1202.6,882.0,1160.4,1510220,47.8,EQ
2023-07-18,1158.95,1170.0,1146.4,1167.2,1153.75,2431478,2822019054.7,1202.6,882.0,1160.62,1334523,54.89,EQ
2023-07-19,1165.0,1174.9,1157.0,1169.05,1167.2,2242397,2617063268.05,1202.6,882.0,1167.08,1241661,55.37,EQ
2023-07-20,1160.0,1162.8,1148.0,1155.8,1169.05,1990001,2294634346.2,1202.6,882.0,1153.08,883260,44.38,EQ
2023-07-21,1110.0,1139.9,1095.0,1115.45,1155.8,5259150,5888381334.0,1202.6,882.0,1119.65,2829642,53.8,EQ
2023-07-24,1120.0,1127.7,1111.0,1112.9,1115.45,2672505,2991284864.2,1202.6,882.0,1119.28,2057208,76.98,EQ
2023-07-25,1118.5,1119.0,1105.1,1111.55,1112.9,2506726,2784790934.6,1202.6,882.0,1110.93,1720709,68.64,EQ
2023-07-26,1110.2,1120.85,1110.1,1115.0,1111.55,1969964,2196889727.8,1202.6,882.0,1115.19,1308348,66.41,EQ
2023-07-27,1115.0,1122.7,1108.95,1117.35,1115.0,1769815,1974810753.9,1202.6,882.0,1115.83,1121664,63.38,EQ
2023-07-28,1114.05,1118.5,1097.45,1103.55,1117.35,2031899,2246811350.15,1202.6,882.0,1105.77,1356974,66.78,EQ
2023-07-31,1108.0,1119.5,1096.0,1116.7,1103.55,2526624,2805306265.45,1202.6,882.0,1110.3,1596565,63.19,EQ
2023-08-01,1120.0,1142.0,1111.9,1138.5,1116.7,2710536,3059043763.05,1202.6,882.0,1128.58,1626355,60.0,EQ
2023-08-02,1137.0,1137.0,1121.5,1130.9,1138.5,2701150,3052813702.5,1202.6,882.0,1130.19,1981228,73.35,EQ
2023-08-03,1126.0,1135.55,1115.05,1125.5,1130.9,1608187,1808517480.2,1202.6,882.0,1124.57,818973,50.93,EQ
2023-08-04,1130.45,1152.35,1126.0,1144.35,1125.5,3315303,3797127841.6,1202.6,882.0,1145.33,2062245,62.2,EQ
2023-08-07,1154.55,1155.75,1143.15,1150.8,1144.35,1655404,1905194925.45,1202.6,882.0,1150.89,949949,57.38,EQ
2023-08-08,1154.9,1156.9,1137.0,1141.35,1150.8,1667697,1908843348.5,1202.6,882.0,1144.6,994247,59.62,EQ
2023-08-09,1140.95,1146.0,1125.0,1144.15,1141.35,1559337,1773320835.35,1202.6,882.0,1137.23,892054,57.21,EQ
2023-08-10,1140.0,1144.8,1128.65,1134.3,1144.15,1676669,1902705079.75,1202.6,882.0,1134.81,904776,53.96,EQ
2023-08-11,1160.0,1186.95,1154.3,1171.45,1134.3,7391806,8686245319.7,1202.6,882.0,1175.12,2995400,40.52,EQ
2023-08-14,1170.65,1177.0,1154.0,1171.0,1171.45,1720940,2008502293.4,1202.6,882.0,1167.1,819599,47.63,EQ
2023-08-16,1175.75,1186.25,1170.1,1177.15,1171.0,2567226,3026354742.1,1202.6,882.0,1178.84,1489112,58.0,EQ
2023-08-17,1176.85,1180.95,1163.95,1176.7,1177.15,2331256,2738408350.5,1202.6,882.0,1174.65,1539585,66.04,EQ
2023-08-18,1173.0,1177.85,1158.65,1173.7,1176.7,3406088,3985911384.7,1202.6,882.0,1170.23,2475218,72.67,EQ
2023-08-21,1172.95,1188.9,1168.95,1179.25,1173.7,1661946,1962305473.05,1202.6,882.0,1180.73,1039337,62.54,EQ
2023-08-22,1182.0,1187.0,1176.15,1179.5,1179.25,1805887,2131708724.8,1202.6,882.0,1180.42,1296041,71.77,EQ
2023-08-23,1192.95,1195.0,1178.65,1182.5,1179.5,2347850,2779228768.6,1202.6,882.0,1183.73,1557811,66.35,EQ
2023-08-24,1188.95,1189.0,1169.0,1171.25,1182.5,2464221,2911936913.7,1202.6,882.0,1181.69,1816223,73.7,EQ
2023-08-25,1165.0,1170.8,1150.0,1153.95,1171.25,2105159,2439650896.4,1202.6,882.0,1158.89,1105326,52.51,EQ
2023-08-28,1155.0,1159.7,1139.3,1146.45,1153.95,2571967,2952500890.4,1202.6,882.0,1147.95,1642695,63.87,EQ
2023-08-29,1153.9,1163.3,1148.3,1157.55,1146.45,1794652,2073544535.75,1202.6,882.0,1155.4,1193506,66.5,EQ
2023-08-30,1166.0,1175.15,1161.65,1170.5,1157.55,1497356,1752864102.35,1202.6,882.0,1170.64,952764,63.63,EQ
2023-08-31,1179.5,1188.1,1165.9,1172.15,1170.5,4483967,5273612689.4,1202.6,882.0,1176.1,2922549,65.18,EQ
2023-09-01,1173.0,1188.0,1171.1,1185.8,1172.15,1669640,1973416748.55,1202.6,882.0,1181.94,1112744,66.65,EQ
2023-09-04,1186.0,1235.0,1185.0,1232.5,1185.8,4517935,5499434616.7,1235.0,882.0,1217.25,2782579,61.59,EQ
2023-09-05,1236.75,1241.7,1225.2,1235.55,1232.5,2842400,3510216150.2,1241.7,882.0,1234.95,1899650,66.83,EQ
2023-09-06,1239.85,1242.4,1222.7,1235.85,1235.55,1767709,2179839681.75,1242.4,882.0,1233.14,1154271,65.3,EQ
2023-09-07,1238.0,1257.0,1230.3,1254.0,1235.85,2582004,3224250353.85,1257.0,882.0,1248.74,1393999,53.99,EQ
2023-09-08,1259.0,1269.55,1254.3,1262.05,1254.0,2280777,2879448337.2,1269.55,882.0,1262.49,1456974,63.88,EQ
2023-09-11,1276.55,1284.3,1270.4,1281.55,1262.05,2691836,3443089267.3,1284.3,882.0,1279.09,1916741,71.21,EQ
2023-09-12,1285.0,1291.75,1265.5,1282.4,1281.55,2140769,2738467990.45,1291.75,882.0,1279.2,1110787,51.89,EQ
2023-09-13,1282.0,1282.4,1266.1,1275.25,1282.4,2275523,2900895636.35,1291.75,882.0,1274.83,1446416,63.56,EQ
2023-09-14,1280.85,1290.7,1275.6,1283.6,1275.25,2655172,3406957951.5,1291.75,882.0,1283.14,1401457,52.78,EQ
2023-09-15,1294.0,1310.0,1291.05,1304.6,1283.6,4286280,5586105589.45,1310.0,882.0,1303.25,2772523,64.68,EQ
