Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,2626.1,2659.15,2626.1,2652.4,2637.6,1106318,2928654109.0,2933.8,2026.0,2647.21,677112,61.2,EQ
2023-01-03,2643.25,2672.8,2638.5,2664.7,2652.4,2262464,6007609954.45,2933.8,2026.0,2655.34,1477250,65.29,EQ
2023-01-04,2659.0,2670.0,2615.5,2625.7,2664.7,2125220,5614897040.0,2933.8,2026.0,2642.03,1494771,70.33,EQ
2023-01-05,2638.0,2644.3,2606.2,2621.6,2625.7,2910551,7637082366.25,2933.8,2026.0,2623.93,2190634,75.27,EQ
2023-01-06,2627.0,2635.0,2590.0,2596.0,2621.6,1813292,4730188833.95,2933.8,2026.0,2608.62,1248418,68.85,EQ
2023-01-09,2600.9,2629.95,2591.05,2615.9,2596.0,2895579,7570871950.5,2933.8,2026.0,2614.63,1888972,65.24,EQ
2023-01-10,2612.1,2615.85,2563.0,2575.35,2615.9,1990190,5131288939.05,2933.8,2026.0,2578.29,1298176,65.23,EQ
2023-01-11,2566.0,2605.2,2547.05,2594.85,2575.35,1910362,4939269031.55,2933.8,2026.0,2585.51,1123910,58.83,EQ
2023-01-12,2595.7,2621.6,2593.1,2612.8,2594.85,2723696,7105934268.25,2933.8,2026.0,2608.93,2005124,73.62,EQ
2023-01-13,2608.0,2631.1,2590.6,2621.65,2612.8,3378677,8821171409.65,2933.8,2026.0,2610.84,2699765,79.91,EQ
2023-01-16,2648.0,2648.0,2585.15,2594.8,2621.65,2756714,7195628831.85,2933.8,2026.0,2610.22,1919618,69.63,EQ
2023-01-17,2593.1,2643.9,2587.6,2640.65,2594.8,2108385,5541234700.55,2933.8,2026.0,2628.19,1348296,63.95,EQ
2023-01-18,2640.1,2691.35,2629.45,2687.65,2640.65,3867408,10343151869.75,2933.8,2026.0,2674.44,2863455,74.04,EQ
2023-01-19,2685.0,2700.0,2670.4,2691.7,2687.65,2408731,6477076525.9,2933.8,2026.0,2689.0,1806122,74.98,EQ
2023-01-20,2692.0,2732.0,2691.05,2715.95,2691.7,1910649,5196010106.35,2933.8,2026.0,2719.5,1320005,69.09,EQ
2023-01-23,2725.0,2750.85,2715.95,2741.9,2715.95,1868514,5122745504.65,2933.8,2026.0,2741.61,1330121,71.19,EQ
2023-01-24,2748.0,2780.0,2737.1,2775.4,2741.9,3536820,9765295945.65,2933.8,2026.0,2761.04,2862190,80.93,EQ
2023-01-25,2764.0,2769.95,2700.45,2710.6,2775.4,2282790,6226048965.6,2933.8,2026.0,2727.39,1543065,67.6,EQ
2023-01-27,2699.0,2699.0,2615.6,2661.5,2710.6,4153948,11001275792.9,2933.8,2026.0,2648.39,2800688,67.42,EQ
2023-01-30,2646.3,2661.0,2597.25,2648.2,2661.5,4429082,11658379530.5,2933.8,2026.0,2632.23,2847485,64.29,EQ
2023-01-31,2650.0,2654.5,2605.5,2622.95,2648.2,5721836,15038085703.8,2933.8,2026.0,2628.19,4387837,76.69,EQ
2023-02-01,2650.0,2729.85,2620.5,2661.7,2622.95,4406327,11762201782.55,2933.8,2026.0,2669.39,2570330,58.33,EQ
2023-02-02,2622.65,2649.85,2591.3,2613.3,2661.7,3773664,9864619017.45,2933.8,2026.0,2614.07,2505317,66.39,EQ
2023-02-03,2615.0,2698.0,2609.95,2694.65,2613.3,4067801,10834956885.8,2933.8,2026.0,2663.59,3075191,75.6,EQ
2023-02-06,2692.0,2707.7,2671.55,2683.15,2694.65,2364396,6352097069.7,2933.8,2026.0,2686.56,1818505,76.91,EQ
2023-02-07,2684.4,2694.9,2654.0,2679.2,2683.15,2494047,6680941157.85,2933.8,2026.0,2678.76,1811778,72.64,EQ
2023-02-08,2676.35,2704.0,2675.0,2685.8,2679.2,2202728,5923949863.95,2933.8,2026.0,2689.37,1646743,74.76,EQ
2023-02-09,2690.0,2692.45,2655.0,2673.25,2685.8,2285661,6104467336.65,2933.8,2026.0,2670.77,1764744,77.21,EQ
2023-02-10,2668.0,2693.4,2659.85,2688.7,2673.25,1505925,4033123448.3,2933.8,2026.0,2678.17,1085609,72.09,EQ
2023-02-13,2680.0,2702.9,2665.8,2699.85,2688.7,2609749,7013174565.4,2933.8,2026.0,2687.3,1827307,70.02,EQ
2023-02-14,2711.0,2720.0,2691.05,2718.75,2699.85,2874322,7792709054.65,2933.8,2026.0,2711.15,1785939,62.13,EQ
2023-02-15,2709.5,2718.85,2683.15,2703.9,2718.75,3367150,9081912089.45,2933.8,2026.0,2697.21,2639991,78.4,EQ
2023-02-16,2715.6,2724.8,2693.8,2700.5,2703.9,2506632,6794630160.15,2933.8,2026.0,2710.66,1792993,71.53,EQ
2023-02-17,2695.0,2700.0,2670.05,2693.6,2700.5,2247198,6034171998.55,2933.8,2026.0,2685.2,1589972,70.75,EQ
2023-02-20,2696.95,2705.0,2648.8,2655.9,2693.6,1557675,4171164954.9,2933.8,2026.0,2677.81,868456,55.75,EQ
2023-02-21,2662.0,2689.9,2649.2,2666.4,2655.9,2778630,7416200320.35,2933.8,2026.0,2669.01,1556540,56.02,EQ
2023-02-22,2654.05,2664.45,2608.25,2617.3,2666.4,2949868,7772145797.0,2933.8,2026.0,2634.74,2083194,70.62,EQ
2023-02-23,2606.0,2617.6,2581.65,2600.5,2617.3,4026994,10478843030.9,2933.8,2026.0,2602.15,2822776,70.1,EQ
