Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,1627.0,1639.75,1618.55,1628.7,1628.15,2190689,3569697184.0,1722.1,1271.6,1629.49,1036063,47.29,EQ
2023-01-03,1622.2,1643.0,1622.2,1639.35,1628.7,4189015,6847495805.65,1722.1,1271.6,1634.63,2754739,65.76,EQ
2023-01-04,1635.0,1645.75,1607.0,1610.05,1639.35,5175800,8398837748.0,1722.1,1271.6,1622.71,3271719,63.21,EQ
2023-01-05,1615.0,1618.05,1589.4,1599.7,1610.05,5470718,8765509490.95,1722.1,1271.6,1602.26,3582675,65.49,EQ
2023-01-06,1602.0,1609.1,1578.2,1594.4,1599.7,4546231,7241079692.35,1722.1,1271.6,1592.77,2919025,64.21,EQ
2023-01-09,1596.0,1611.55,1590.0,1597.5,1594.4,5364670,8593288222.1,1722.1,1271.6,1601.83,3632471,67.71,EQ
2023-01-10,1600.0,1600.0,1565.0,1568.3,1597.5,8185883,12869232604.25,1722.1,1271.6,1572.13,6300941,76.97,EQ
2023-01-11,1567.95,1598.0,1560.0,1590.9,1568.3,7597899,12044752262.45,1722.1,1271.6,1585.27,5479706,72.12,EQ
2023-01-12,1587.8,1603.9,1584.15,1599.4,1590.9,4625035,7371203643.65,1722.1,1271.6,1593.76,2796561,60.47,EQ
2023-01-13,1598.75,1609.9,1586.0,1600.65,1599.4,4622273,7389463181.3,1722.1,1271.6,1598.66,3009511,65.11,EQ
2023-01-16,1615.0,1621.3,1580.3,1585.3,1600.65,7374047,11799532275.45,1722.1,1271.6,1600.14,3669896,49.77,EQ
2023-01-17,1589.8,1611.0,1577.5,1608.9,1585.3,5393177,8642051691.35,1722.1,1271.6,1602.4,3202706,59.38,EQ
2023-01-18,1605.0,1641.6,1599.7,1637.3,1608.9,9545321,15571575456.3,1722.1,1271.6,1631.33,5789503,60.65,EQ
