Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,2573.9,2580.05,2538.05,2558.4,2561.05,681703,1741816989.15,2741.6,1901.55,2555.1,378004,55.45,EQ
2023-01-03,2550.05,2562.0,2535.0,2542.05,2558.4,821843,2092473388.5,2741.6,1901.55,2546.07,489587,59.57,EQ
2023-01-04,2550.5,2558.4,2527.05,2536.1,2542.05,1672649,4244314736.4,2741.6,1901.55,2537.48,1241336,74.21,EQ
2023-01-05,2537.55,2591.95,2537.5,2583.7,2536.1,2008493,5161096029.45,2741.6,1901.55,2569.64,1214234,60.45,EQ
2023-01-06,2580.0,2611.9,2574.9,2576.45,2583.7,991782,2567047566.0,2741.6,1901.55,2588.32,598763,60.37,EQ
2023-01-09,2589.35,2629.45,2570.0,2624.05,2576.45,1267078,3304906650.05,2741.6,1901.55,2608.29,878621,69.34,EQ
2023-01-10,2624.05,2653.35,2615.1,2643.85,2624.05,1413088,3728201168.65,2741.6,1901.55,2638.34,1038732,73.51,EQ
2023-01-11,2644.0,2647.85,2588.1,2593.25,2643.85,1471687,3830441708.95,2741.6,1901.55,2602.76,961363,65.32,EQ
2023-01-12,2586.1,2602.6,2572.75,2590.05,2593.25,1703829,4404190179.2,2741.6,1901.55,2584.88,1186762,69.65,EQ
2023-01-13,2590.2,2639.25,2566.65,2624.0,2590.05,1348015,3525075698.45,2741.6,1901.55,2615.01,863014,64.02,EQ
2023-01-16,2627.95,2627.95,2584.0,2597.1,2624.0,930068,2419512759.55,2741.6,1901.55,2601.44,614583,66.08,EQ
2023-01-17,2605.45,2675.0,2601.8,2667.55,2597.1,1892865,5026748839.2,2741.6,1901.55,2655.63,1035917,54.73,EQ
2023-01-18,2668.0,2693.5,2660.0,2686.2,2667.55,2038075,5468140246.95,2741.6,1901.55,2682.99,1664533,81.67,EQ
2023-01-19,2670.1,2679.3,2611.9,2649.75,2686.2,1649842,4354784861.55,2741.6,1901.55,2639.52,1066986,64.67,EQ
2023-01-20,2550.0,2605.0,2536.05,2548.75,2649.75,4569549,11723536241.85,2741.6,1901.55,2565.58,2467332,54.0,EQ
