Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,894.0,907.0,894.0,902.45,890.85,4315403,3893736998.3,958.2,642.15,902.29,1686057,39.07,EQ
2023-01-03,898.5,905.95,896.75,901.35,902.45,5846855,5269963293.45,958.2,642.15,901.33,3301312,56.46,EQ
2023-01-04,899.0,907.9,894.8,899.1,901.35,12454582,11214098871.85,958.2,642.15,900.4,8832116,70.91,EQ
2023-01-05,900.9,903.0,872.0,879.15,899.1,16547196,14607251958.95,958.2,642.15,882.76,11944691,72.19,EQ
2023-01-06,878.95,878.95,860.5,870.1,879.15,14804613,12846729988.4,958.2,642.15,867.75,10880703,73.5,EQ
2023-01-09,874.25,878.75,862.3,873.35,870.1,16811853,14656950878.55,958.2,642.15,871.82,11603423,69.02,EQ
2023-01-10,875.4,878.4,856.6,861.35,873.35,13470142,11646033495.35,958.2,642.15,864.58,9812958,72.85,EQ
2023-01-11,862.9,870.85,854.85,866.3,861.35,15558460,13446933979.35,958.2,642.15,864.28,11163263,71.75,EQ
2023-01-12,865.5,869.35,854.95,860.65,866.3,16659001,14317157904.2,958.2,642.15,859.42,11768553,70.64,EQ
2023-01-13,864.7,874.9,858.3,873.45,860.65,11223103,9726068090.25,958.2,642.15,866.61,7017342,62.53,EQ
2023-01-16,877.25,877.45,861.05,865.25,873.45,8319812,7222529787.9,958.2,642.15,868.11,5208807,62.61,EQ
2023-01-17,866.95,867.95,858.1,865.15,865.25,12624859,10898250398.6,958.2,642.15,863.24,8830415,69.94,EQ
2023-01-18,864.45,872.0,858.65,869.5,865.15,11313898,9806232660.85,958.2,642.15,866.74,7787299,68.83,EQ
2023-01-19,868.0,870.55,862.0,866.15,869.5,6694679,5796899732.4,958.2,642.15,865.9,4427953,66.14,EQ
2023-01-20,873.5,876.5,865.55,870.35,866.15,8127162,7076227350.1,958.2,642.15,870.69,4395392,54.08,EQ
2023-01-23,882.0,883.3,864.6,871.7,870.35,16882379,14744434016.05,958.2,642.15,873.36,9919200,58.75,EQ
2023-01-24,879.0,881.7,868.0,870.75,871.7,11504090,10045411021.55,958.2,642.15,873.2,8244152,71.66,EQ
2023-01-25,873.3,876.8,848.0,855.3,870.75,14918485,12797796474.7,958.2,642.15,857.85,9429007,63.2,EQ
2023-01-27,839.15,843.0,813.1,817.2,855.3,39718683,32708502959.15,958.2,642.15,823.5,30454164,76.67,EQ
2023-01-30,800.0,826.25,796.0,823.5,817.2,36301441,29489195521.9,958.2,642.15,812.34,24551150,67.63,EQ
2023-01-31,826.0,838.3,814.1,831.9,823.5,27291226,22583783062.65,958.2,642.15,827.51,18891874,69.22,EQ
2023-02-01,843.45,875.2,823.15,847.95,831.9,39237711,33476849764.25,958.2,642.15,853.18,26616067,67.83,EQ
2023-02-02,828.4,860.6,826.1,857.9,847.95,16798190,14218722020.65,958.2,642.15,846.44,9881479,58.82,EQ
2023-02-03,864.65,872.65,852.1,863.8,857.9,14914366,12873394076.3,958.2,642.15,863.15,9911583,66.46,EQ
2023-02-06,861.5,867.8,849.65,853.7,863.8,8463833,7238082471.85,958.2,642.15,855.18,5307080,62.7,EQ
2023-02-07,855.0,856.0,847.2,852.75,853.7,9337066,7951799843.0,958.2,642.15,851.64,6215861,66.57,EQ
2023-02-08,852.5,860.7,851.9,859.1,852.75,8082983,6927305066.3,958.2,642.15,857.02,5315932,65.77,EQ
2023-02-09,858.5,864.9,851.6,860.8,859.1,6299265,5414977210.15,958.2,642.15,859.62,4282673,67.99,EQ
2023-02-10,855.55,861.9,852.0,853.85,860.8,8656405,7410435746.5,958.2,642.15,856.06,5987802,69.17,EQ
2023-02-13,853.4,859.3,849.35,850.65,853.85,9394365,8020854846.1,958.2,642.15,853.79,6142206,65.38,EQ
2023-02-14,853.9,867.3,852.1,865.3,850.65,13402934,11525283230.7,958.2,642.15,859.91,8229963,61.4,EQ
2023-02-15,866.4,873.25,860.6,870.8,865.3,12070288,10441897134.05,958.2,642.15,865.09,8171234,67.7,EQ
2023-02-16,875.95,877.8,864.85,869.45,870.8,10715685,9345945594.45,958.2,642.15,872.17,7347668,68.57,EQ
2023-02-17,867.55,867.55,855.15,862.65,869.45,9990618,8604355548.4,958.2,642.15,861.24,4082732,40.87,EQ
2023-02-20,862.65,866.55,850.25,852.1,862.65,9013430,7730821931.2,958.2,642.15,857.7,4003795,44.42,EQ
2023-02-21,854.4,859.45,846.85,854.2,852.1,11704445,9990567240.3,958.2,642.15,853.57,4401063,37.6,EQ
2023-02-22,851.25,854.1,834.75,839.25,854.2,13880984,11724069965.1,958.2,642.15,844.61,6533847,47.07,EQ
2023-02-23,836.55,844.45,833.55,839.75,839.25,11743574,9849307806.7,958.2,642.15,838.7,5435929,46.29,EQ
2023-02-24,843.95,845.6,835.55,839.7,839.75,8246139,6928911922.7,958.2,642.15,840.26,4666288,56.59,EQ
2023-02-27,833.55,858.3,833.55,856.4,839.7,14422574,12243799621.55,958.2,642.15,848.93,7200717,49.93,EQ
2023-02-28,854.9,858.0,850.0,854.85,856.4,19600146,16733073110.85,958.2,642.15,853.72,10412171,53.12,EQ
2023-03-01,864.0,864.0,851.85,856.3,854.85,11015843,9443055261.2,958.2,642.15,857.22,5069489,46.02,EQ
2023-03-02,853.0,861.85,851.1,854.0,856.3,12327141,10577465279.1,958.2,642.15,858.06,4975761,40.36,EQ
2023-03-03,856.75,873.0,849.85,868.55,854.0,12823098,11117545319.0,958.2,642.15,866.99,5929044,46.24,EQ
2023-03-06,871.75,876.85,865.35,867.75,868.55,13904231,12101444323.3,958.2,642.15,870.34,4998588,35.95,EQ
2023-03-08,866.65,873.65,861.5,872.1,867.75,16144568,13984506148.35,958.2,642.15,866.21,6397127,39.62,EQ
2023-03-09,867.2,869.8,854.15,855.95,872.1,10624440,9166163272.8,958.2,642.15,862.74,5313701,50.01,EQ
2023-03-10,844.7,845.35,836.25,842.65,855.95,17273189,14558564028.95,958.2,642.15,842.84,6890905,39.89,EQ
2023-03-13,841.45,855.3,823.95,828.4,842.65,16413159,13805160212.15,958.2,669.95,841.1,6081479,37.05,EQ
2023-03-14,827.0,834.45,818.25,830.35,828.4,15456802,12767098939.3,958.2,669.95,825.99,6553158,42.4,EQ
2023-03-15,836.45,843.95,822.2,825.9,830.35,12914488,10758985936.3,958.2,669.95,833.09,3184487,24.66,EQ
2023-03-16,829.7,831.3,810.3,823.9,825.9,14987868,12308061095.5,958.2,669.95,821.2,7437607,49.62,EQ
2023-03-17,831.8,838.4,818.65,836.25,823.9,11104490,9199538620.0,958.2,669.95,828.45,5046765,45.45,EQ
2023-03-20,837.0,837.8,825.0,836.45,836.25,14838651,12323776072.3,958.2,669.95,830.52,5693751,38.37,EQ
2023-03-21,843.0,854.5,839.05,852.4,836.45,18755854,15869462815.95,958.2,669.95,846.11,6640570,35.41,EQ
2023-03-22,857.65,862.55,851.0,860.2,852.4,17431520,14927607314.9,958.2,669.95,856.36,7101324,40.74,EQ
2023-03-23,857.0,867.45,852.8,855.45,860.2,17920621,15448661801.95,958.2,669.95,862.06,7575584,42.27,EQ
2023-03-24,852.5,860.0,849.15,852.4,855.45,17295696,14786927519.65,958.2,669.95,854.95,3872814,22.39,EQ
2023-03-27,854.95,856.4,844.05,848.7,852.4,17047675,14479194037.9,958.2,669.95,849.34,3375671,19.8,EQ
2023-03-28,855.55,858.9,848.2,854.75,848.7,24469018,20880709975.3,958.2,669.95,853.35,5246179,21.44,EQ
2023-03-29,857.05,862.1,848.0,851.0,854.75,34881515,29819416000.65,958.2,669.95,854.88,14767286,42.34,EQ
2023-03-31,861.95,881.0,858.5,877.25,851.0,25739021,22521029030.15,958.2,669.95,874.98,7590353,29.49,EQ
2023-04-03,880.2,887.1,868.85,883.8,877.25,26416933,23171877331.15,958.2,669.95,877.16,5160214,19.53,EQ
