Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,1514.0,1526.5,1504.05,1524.0,1508.2,3801140,5772495934.15,1953.9,1355.0,1518.62,2587911,68.08,EQ
2023-01-03,1519.85,1532.65,1515.1,1522.55,1524.0,4551130,6948267864.8,1953.9,1355.0,1526.71,3255898,71.54,EQ
2023-01-04,1521.0,1521.0,1491.1,1494.8,1522.55,7059590,10599936790.8,1953.9,1355.0,1501.49,5091489,72.12,EQ
2023-01-05,1505.9,1505.9,1469.25,1475.2,1494.8,9868404,14619077864.8,1953.9,1355.0,1481.4,7577717,76.79,EQ
2023-01-06,1470.0,1475.0,1446.5,1448.5,1475.2,6443714,9391109271.15,1953.9,1355.0,1457.41,4527609,70.26,EQ
2023-01-09,1448.2,1489.35,1448.2,1484.45,1448.5,11498717,16991917374.85,1953.9,1355.0,1477.72,8401110,73.06,EQ
2023-01-10,1482.0,1483.9,1454.05,1469.75,1484.45,7158624,10483179205.7,1953.9,1355.0,1464.41,4872974,68.07,EQ
2023-01-11,1470.0,1494.0,1464.0,1471.25,1469.75,6173092,9124651920.2,1953.9,1355.0,1478.13,3745814,60.68,EQ
2023-01-12,1481.95,1485.0,1455.0,1480.6,1471.25,6591385,9705952016.2,1953.9,1355.0,1472.52,3811007,57.82,EQ
2023-01-13,1483.5,1519.4,1468.0,1503.65,1480.6,11610426,17374277548.0,1953.9,1355.0,1496.44,5758849,49.6,EQ
2023-01-16,1510.0,1528.0,1502.3,1525.5,1503.65,6073063,9232897461.8,1953.9,1355.0,1520.3,3887055,64.0,EQ
2023-01-17,1527.0,1542.2,1524.0,1539.5,1525.5,5922644,9097680231.45,1953.9,1355.0,1536.08,4251629,71.79,EQ
2023-01-18,1544.75,1551.85,1539.6,1545.4,1539.5,5843098,9036913833.95,1953.9,1355.0,1546.6,4141047,70.87,EQ
2023-01-19,1539.9,1549.55,1526.15,1538.9,1545.4,6165284,9496329847.2,1953.9,1355.0,1540.29,4306263,69.85,EQ
2023-01-20,1538.0,1545.0,1524.0,1525.55,1538.9,6496429,9949678360.5,1953.9,1355.0,1531.56,5166082,79.52,EQ
2023-01-23,1535.0,1553.3,1528.1,1548.0,1525.55,4855020,7491177763.05,1923.3,1355.0,1542.98,3609723,74.35,EQ
2023-01-24,1560.0,1568.8,1549.75,1551.9,1548.0,5200802,8112123939.6,1923.3,1355.0,1559.78,3536071,67.99,EQ
2023-01-25,1547.0,1556.0,1538.75,1543.0,1551.9,4158617,6431644720.05,1923.3,1355.0,1546.58,2890049,69.5,EQ
2023-01-27,1546.0,1550.95,1507.4,1519.15,1543.0,6209955,9499158228.85,1923.3,1355.0,1529.67,4343997,69.95,EQ
2023-01-30,1528.8,1544.0,1520.0,1538.8,1519.15,6964719,10686269253.8,1923.3,1355.0,1534.34,4835871,69.43,EQ
2023-01-31,1548.9,1548.9,1513.0,1533.75,1538.8,9448126,14421780538.55,1923.3,1355.0,1526.42,6784098,71.8,EQ
2023-02-01,1542.2,1555.05,1528.05,1551.1,1533.75,6194199,9555789510.4,1923.3,1355.0,1542.7,4291328,69.28,EQ
2023-02-02,1552.0,1586.95,1552.0,1583.75,1551.1,6916834,10912094672.75,1923.3,1355.0,1577.61,4657339,67.33,EQ
2023-02-03,1597.5,1604.65,1573.0,1599.4,1583.75,7040194,11219369732.75,1923.3,1355.0,1593.62,4844776,68.82,EQ
2023-02-06,1598.0,1598.0,1561.6,1569.85,1599.4,4570612,7179133169.9,1923.3,1355.0,1570.72,2890524,63.24,EQ
2023-02-07,1569.0,1576.05,1555.1,1562.4,1569.85,4336238,6795552061.5,1923.3,1355.0,1567.15,3070813,70.82,EQ
2023-02-08,1565.5,1603.0,1565.5,1590.5,1562.4,7983338,12726341119.9,1923.3,1355.0,1594.11,5949971,74.53,EQ
2023-02-09,1596.2,1619.75,1586.05,1617.0,1590.5,6904911,11084460708.85,1923.3,1355.0,1605.3,5171300,74.89,EQ
2023-02-10,1612.95,1616.3,1596.45,1608.55,1617.0,4786762,7698059397.1,1923.3,1355.0,1608.2,3563865,74.45,EQ
2023-02-13,1597.0,1597.0,1566.0,1567.45,1608.55,4001199,6291330890.45,1923.3,1355.0,1572.36,2526135,63.13,EQ
2023-02-14,1584.7,1596.0,1578.15,1593.25,1567.45,5043736,8026783623.85,1923.3,1355.0,1591.44,3466252,68.72,EQ
2023-02-15,1584.0,1599.0,1576.0,1597.05,1593.25,3465747,5515218754.9,1923.3,1355.0,1591.35,2304377,66.49,EQ
2023-02-16,1600.0,1614.45,1597.85,1601.8,1597.05,4290289,6892884421.45,1923.3,1355.0,1606.62,3027313,70.56,EQ
2023-02-17,1594.0,1595.0,1575.5,1583.8,1601.8,2857734,4533097645.7,1923.3,1355.0,1586.26,1792327,62.72,EQ
2023-02-20,1584.95,1603.0,1582.5,1592.45,1583.8,2417716,3853813484.6,1923.3,1355.0,1593.99,1349852,55.83,EQ
2023-02-21,1598.7,1601.65,1576.0,1579.5,1592.45,2723288,4320425602.15,1923.3,1355.0,1586.47,1819074,66.8,EQ
2023-02-22,1563.0,1575.0,1555.3,1561.8,1579.5,3656244,5722649682.0,1923.3,1355.0,1565.17,2756511,75.39,EQ
2023-02-23,1569.85,1569.85,1548.15,1550.7,1561.8,4766854,7422770441.75,1923.3,1355.0,1557.16,3617296,75.88,EQ
2023-02-24,1560.0,1569.0,1545.0,1550.65,1550.7,2790986,4338555110.95,1923.3,1355.0,1554.49,1899968,68.08,EQ
