Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-06-02,440.0,444.9,439.8,443.4,439.7,9203842,4073882251.1,452.0,258.55,442.63,5469187,59.42,EQ
2023-06-05,445.0,446.85,440.1,440.65,443.4,7152179,3165534777.75,452.0,258.55,442.6,3933997,55.0,EQ
2023-06-06,440.8,443.6,440.4,442.8,440.65,6454486,2852356704.2,452.0,258.55,441.92,3608189,55.9,EQ
2023-06-07,444.0,445.65,442.75,443.95,442.8,7543432,3349431451.45,452.0,258.55,444.02,3582238,47.49,EQ
2023-06-08,445.7,445.75,441.9,442.9,443.95,7024424,3115723109.8,452.0,258.55,443.56,3212977,45.74,EQ
2023-06-09,435.15,444.7,435.15,438.45,442.9,7057843,3108236555.3,452.0,258.55,440.39,4428294,62.74,EQ
2023-06-12,440.0,440.95,433.85,436.95,438.45,8719176,3805701631.45,452.0,258.55,436.47,5840811,66.99,EQ
2023-06-13,441.0,446.4,438.3,445.4,436.95,16111860,7159622903.4,452.0,258.55,444.37,8667685,53.8,EQ
2023-06-14,446.25,447.75,443.75,444.5,445.4,8704178,3882846562.0,452.0,258.55,446.09,5445806,62.57,EQ
2023-06-15,445.0,448.75,444.75,448.1,444.5,7498727,3355607683.8,452.0,258.55,447.49,3485346,46.48,EQ
2023-06-16,449.0,455.6,447.9,453.1,448.1,11729681,5310177400.75,455.6,258.55,452.71,7149923,60.96,EQ
2023-06-19,454.75,455.9,452.25,453.6,453.1,4189180,1903187370.95,455.9,261.35,454.31,1927471,46.01,EQ
2023-06-20,454.8,454.8,450.15,452.85,453.6,4472119,2020975859.75,455.9,261.35,451.91,2556009,57.15,EQ
2023-06-21,452.0,454.2,445.05,447.05,452.85,6059504,2721584526.6,455.9,261.35,449.14,3202132,52.84,EQ
2023-06-22,448.0,449.65,445.85,447.65,447.05,6637099,2973041763.65,455.9,261.35,447.94,3420124,51.53,EQ
2023-06-23,447.5,447.65,442.7,444.75,447.65,6090901,2708809798.45,455.9,261.35,444.73,3336063,54.77,EQ
2023-06-26,446.9,451.4,444.0,445.7,444.75,5477339,2447961222.15,455.9,266.5,446.93,2831648,51.7,EQ
2023-06-27,446.1,447.2,443.15,445.1,445.7,4865596,2163549325.65,455.9,266.5,444.66,2873797,59.06,EQ
2023-06-28,445.0,450.6,444.5,449.35,445.1,12082753,5422169509.15,455.9,266.5,448.75,7321652,60.6,EQ
2023-06-30,450.0,451.95,446.6,451.6,449.35,9106074,4100691375.6,455.9,266.5,450.32,5413178,59.45,EQ
2023-07-03,451.6,465.95,450.05,463.25,451.6,10699143,4900200625.2,465.95,284.8,458.0,5637269,52.69,EQ
2023-07-04,465.0,468.0,459.8,466.35,463.25,7725081,3581620230.1,468.0,284.8,463.64,3117589,40.36,EQ
2023-07-05,466.35,480.65,464.3,475.1,466.35,16252992,7708668274.75,480.65,284.8,474.29,5710926,35.14,EQ
2023-07-06,477.35,477.4,470.5,473.9,475.1,9471054,4482701746.3,480.65,284.8,473.31,4663299,49.24,EQ
2023-07-07,473.0,475.5,467.6,468.4,473.9,7323451,3447894801.85,480.65,284.8,470.8,4193097,57.26,EQ
2023-07-10,470.0,470.9,463.7,465.85,468.4,6521300,3044348299.9,480.65,289.15,466.83,3679431,56.42,EQ
2023-07-11,466.0,474.55,466.0,473.15,465.85,8457557,3991128321.35,480.65,289.15,471.9,5035059,59.53,EQ
2023-07-12,477.75,477.75,470.45,472.3,473.15,12340934,5842614387.9,480.65,289.15,473.43,7884835,63.89,EQ
2023-07-13,473.9,476.75,471.0,472.0,472.3,7909757,3750647067.45,480.65,289.15,474.18,5013014,63.38,EQ
2023-07-14,473.0,475.0,471.35,472.9,472.0,5081391,2404496856.15,480.65,289.15,473.2,3068683,60.39,EQ
2023-07-17,474.5,475.8,470.6,472.35,472.9,6090738,2880982660.55,480.65,292.7,473.01,3488127,57.27,EQ
2023-07-18,472.55,474.2,471.0,472.5,472.35,5352283,2529090691.15,480.65,292.7,472.53,3316174,61.96,EQ
2023-07-19,472.75,480.45,468.1,478.85,472.5,13867323,6583023567.35,480.65,292.7,474.71,9180775,66.2,EQ
2023-07-20,479.9,493.7,476.3,492.15,478.85,20250206,9871847183.05,493.7,292.7,487.49,9315471,46.0,EQ
2023-07-21,491.8,497.7,487.0,490.45,492.15,13971982,6879844644.8,497.7,292.7,492.4,4755944,34.04,EQ
2023-07-24,493.45,499.7,468.15,471.35,490.45,38976815,18684064255.75,499.7,298.8,479.36,17381287,44.59,EQ
2023-07-25,467.9,468.5,455.4,462.3,471.35,43534718,20021634759.95,499.7,298.8,459.9,20955653,48.14,EQ
2023-07-26,464.9,473.0,462.05,472.25,462.3,18143422,8523140129.85,499.7,298.8,469.76,8492825,46.81,EQ
2023-07-27,474.4,475.15,461.1,465.05,472.25,13989457,6554459376.05,499.7,298.8,468.53,7336215,52.44,EQ
2023-07-28,467.7,469.45,463.4,468.45,465.05,9978231,4655887886.55,499.7,298.8,466.6,5190382,52.02,EQ
2023-07-31,469.0,469.7,463.5,465.7,468.45,8194797,3821300383.9,499.7,303.1,466.31,5042195,61.53,EQ
2023-08-01,466.0,468.85,463.8,464.8,465.7,6438221,3001150880.55,499.7,303.1,466.15,4021677,62.47,EQ
2023-08-02,464.6,464.8,458.0,460.1,464.8,10318220,4746232499.3,499.7,303.1,459.99,6386860,61.9,EQ
2023-08-03,460.1,463.75,454.3,456.05,460.1,10617897,4870069798.2,499.7,303.1,458.67,5245559,49.4,EQ
2023-08-04,456.3,461.4,454.25,454.95,456.05,6834401,3117333363.9,499.7,303.1,456.12,3351299,49.04,EQ
2023-08-07,454.1,456.55,450.95,454.9,454.95,9161131,4162665798.75,499.7,304.5,454.38,5851085,63.87,EQ
2023-08-08,457.0,457.0,451.05,452.35,454.9,6392488,2897108679.7,499.7,304.5,453.21,4248813,66.47,EQ
2023-08-09,452.35,459.9,446.9,458.65,452.35,9758343,4413784771.45,499.7,304.5,452.31,5625492,57.65,EQ
2023-08-10,458.9,459.3,449.0,451.75,458.65,13194170,5969991295.95,499.7,304.5,452.47,7671937,58.15,EQ
2023-08-11,453.9,453.9,444.75,448.75,451.75,11582326,5185144631.5,499.7,304.5,447.68,5868985,50.67,EQ
2023-08-14,448.75,451.25,445.05,449.2,448.75,7562808,3385119308.2,499.7,308.55,447.6,3979581,52.62,EQ
2023-08-16,451.0,457.4,448.2,450.25,449.2,14920272,6742605845.9,499.7,308.55,451.91,7521581,50.41,EQ
2023-08-17,450.0,450.0,440.0,441.0,450.25,16269569,7190276040.4,499.7,308.55,441.95,8902443,54.72,EQ
2023-08-18,441.0,443.35,438.5,441.65,441.0,19324262,8518948569.5,499.7,308.55,440.84,12800210,66.24,EQ
2023-08-21,442.0,448.5,441.35,447.8,441.65,9572041,4265403760.5,499.7,308.85,445.61,6596905,68.92,EQ
2023-08-22,449.0,455.15,447.0,454.25,447.8,9854945,4459947311.75,499.7,308.85,452.56,5613198,56.96,EQ
2023-08-23,455.6,455.65,448.6,450.45,454.25,8445029,3806500841.0,499.7,308.85,450.74,4622611,54.74,EQ
2023-08-24,450.6,453.5,449.3,450.9,450.45,6088274,2745642789.2,499.7,308.85,450.97,3313501,54.42,EQ
2023-08-25,450.9,451.0,442.05,443.35,450.9,9270988,4134566040.8,499.7,308.85,445.97,5686487,61.34,EQ
2023-08-28,445.0,446.85,441.0,441.4,443.35,6910750,3063999468.2,499.7,308.85,443.37,4448101,64.36,EQ
