Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,1827.8,1833.0,1816.45,1825.05,1827.25,1125001,2054079282.65,1997.55,1631.0,1825.85,703784,62.56,EQ
2023-01-03,1822.25,1836.5,1821.0,1832.85,1825.05,1663448,3043377432.9,1997.55,1631.0,1829.56,976757,58.72,EQ
2023-01-04,1834.9,1834.9,1813.95,1820.75,1832.85,1664104,3042130609.55,1997.55,1631.0,1828.09,1043937,62.73,EQ
2023-01-05,1820.0,1832.8,1806.15,1820.3,1820.75,1732618,3153310326.55,1997.55,1631.0,1819.97,1085491,62.65,EQ
2023-01-06,1826.0,1826.0,1770.65,1786.8,1820.3,3799655,6799836915.65,1997.55,1631.0,1789.59,2755957,72.53,EQ
2023-01-09,1801.0,1816.0,1789.0,1811.9,1786.8,3426868,6187024059.35,1997.55,1631.0,1805.45,2066219,60.29,EQ
2023-01-10,1808.55,1816.0,1788.9,1795.55,1811.9,1474131,2656371686.1,1997.55,1631.0,1801.99,830502,56.34,EQ
2023-01-11,1800.0,1804.15,1784.1,1801.85,1795.55,1603701,2883339794.2,1997.55,1631.0,1797.93,1072419,66.87,EQ
2023-01-12,1807.0,1807.0,1772.4,1779.5,1801.85,3529605,6285855690.9,1997.55,1631.0,1780.89,2761046,78.23,EQ
2023-01-13,1779.5,1787.3,1759.0,1780.3,1779.5,3983197,7066318949.55,1997.55,1631.0,1774.03,3170327,79.59,EQ
2023-01-16,1787.0,1799.0,1780.0,1784.8,1780.3,2118161,3790530255.45,1997.55,1631.0,1789.54,1559490,73.62,EQ
2023-01-17,1780.0,1801.95,1776.6,1797.65,1784.8,2132394,3821899144.25,1997.55,1631.0,1792.3,1616986,75.83,EQ
2023-01-18,1802.95,1827.0,1796.0,1799.1,1797.65,2835232,5127648034.4,1997.55,1631.0,1808.55,1931238,68.12,EQ
2023-01-19,1803.5,1803.5,1765.0,1767.3,1799.1,4425644,7856370925.9,1997.55,1631.0,1775.19,3290829,74.36,EQ
2023-01-20,1778.9,1778.9,1757.0,1762.9,1767.3,4270294,7543085447.4,1997.55,1631.0,1766.41,3164224,74.1,EQ
2023-01-23,1790.0,1799.65,1770.0,1783.75,1762.9,7764627,13858758686.3,1997.55,1631.0,1784.86,5908447,76.09,EQ
2023-01-24,1792.7,1792.7,1748.75,1760.25,1783.75,4159188,7342521372.0,1997.55,1631.0,1765.37,3113715,74.86,EQ
2023-01-25,1757.0,1760.4,1733.0,1749.8,1760.25,4280333,7487301112.15,1997.55,1631.0,1749.23,2808579,65.62,EQ
2023-01-27,1752.1,1752.1,1704.0,1713.1,1749.8,7516979,12937821331.7,1997.55,1631.0,1721.15,6013956,80.0,EQ
2023-01-30,1713.1,1730.6,1683.85,1726.25,1713.1,4939556,8467245339.55,1997.55,1631.0,1714.17,3557586,72.02,EQ
2023-01-31,1730.5,1738.6,1713.05,1731.0,1726.25,4385384,7584720724.15,1997.55,1631.0,1729.55,3249208,74.09,EQ
2023-02-01,1745.0,1784.0,1720.75,1744.7,1731.0,3652098,6405405626.5,1997.55,1631.0,1753.9,2202781,60.32,EQ
2023-02-02,1720.0,1768.0,1720.0,1761.75,1744.7,4184470,7318103706.75,1997.55,1631.0,1748.87,2708177,64.72,EQ
2023-02-03,1770.6,1783.7,1745.2,1780.3,1761.75,2675212,4713538085.2,1997.55,1631.0,1761.93,1896721,70.9,EQ
2023-02-06,1775.0,1778.25,1740.0,1747.0,1780.3,3040209,5317380537.2,1997.55,1631.0,1749.02,2317082,76.21,EQ
2023-02-07,1752.2,1780.0,1747.05,1775.4,1747.0,3643187,6428343989.3,1997.55,1631.0,1764.48,2807688,77.07,EQ
2023-02-08,1778.8,1780.0,1761.1,1765.5,1775.4,1446690,2559476105.4,1997.55,1631.0,1769.19,1030447,71.23,EQ
2023-02-09,1767.95,1775.2,1747.95,1770.9,1765.5,2163825,3805766581.35,1997.55,1631.0,1758.81,1551458,71.7,EQ
2023-02-10,1767.9,1778.65,1765.0,1772.05,1770.9,1445942,2561646544.95,1997.55,1631.0,1771.61,981869,67.91,EQ
2023-02-13,1775.1,1784.45,1761.65,1773.8,1772.05,2389142,4231366210.45,1997.55,1631.0,1771.08,1824568,76.37,EQ
2023-02-14,1770.0,1777.0,1763.75,1770.35,1773.8,1614893,2858064808.05,1997.55,1631.0,1769.82,841264,52.09,EQ
2023-02-15,1768.45,1790.0,1760.25,1785.5,1770.35,2409292,4283628179.5,1997.55,1631.0,1777.96,1334001,55.37,EQ
2023-02-16,1794.0,1803.9,1783.55,1787.95,1785.5,2291602,4113174558.05,1997.55,1631.0,1794.89,1368754,59.73,EQ
2023-02-17,1783.1,1791.4,1751.05,1759.25,1787.95,2587909,4572903663.1,1997.55,1631.0,1767.03,1416247,54.73,EQ
2023-02-20,1768.05,1768.05,1730.1,1737.3,1759.25,3224839,5629712170.9,1997.55,1631.0,1745.73,1888304,58.55,EQ
2023-02-21,1745.0,1745.0,1725.05,1730.2,1737.3,2936934,5092770682.35,1997.55,1631.0,1734.04,1390933,47.36,EQ
2023-02-22,1723.95,1726.1,1698.0,1700.55,1730.2,3539149,6039251992.1,1997.55,1631.0,1706.41,2291002,64.73,EQ
2023-02-23,1707.4,1713.75,1687.75,1707.15,1700.55,2770110,4721916197.4,1997.55,1631.0,1704.6,1787994,64.55,EQ
2023-02-24,1713.0,1724.25,1694.0,1697.3,1707.15,2080363,3549692946.7,1997.55,1631.0,1706.29,1294380,62.22,EQ
2023-02-27,1698.3,1729.8,1690.8,1725.95,1697.3,2343798,4029385758.55,1997.55,1631.0,1719.17,1144898,48.85,EQ
2023-02-28,1725.95,1741.4,1721.65,1729.25,1725.95,4395098,7608546902.3,1997.55,1631.0,1731.14,2360416,53.71,EQ
2023-03-01,1729.25,1750.6,1726.0,1744.9,1729.25,5613386,9767729627.7,1997.55,1631.0,1740.08,2680868,47.76,EQ
2023-03-02,1735.6,1746.35,1718.0,1721.7,1744.9,4119935,7145897952.8,1997.55,1631.0,1734.47,765242,18.57,EQ
2023-03-03,1732.0,1765.0,1719.9,1751.0,1721.7,3626269,6311065524.65,1997.55,1631.0,1740.37,1164340,32.11,EQ
2023-03-06,1756.3,1764.6,1741.45,1751.0,1751.0,5186846,9086074883.9,1997.55,1631.0,1751.75,892233,17.2,EQ
2023-03-08,1736.0,1744.3,1726.85,1740.2,1751.0,5202608,9029674516.0,1997.55,1631.0,1735.61,680712,13.08,EQ
2023-03-09,1739.3,1744.55,1713.7,1716.7,1740.2,6928316,11945972208.3,1997.55,1631.0,1724.22,2077752,29.99,EQ
2023-03-10,1707.0,1713.5,1692.0,1699.3,1716.7,4876144,8300389299.8,1997.55,1631.0,1702.24,1165757,23.91,EQ
2023-03-13,1699.0,1723.3,1666.2,1673.9,1699.3,8978938,15201609488.4,1997.55,1631.0,1693.03,2404805,26.78,EQ
2023-03-14,1673.0,1677.55,1643.5,1648.25,1673.9,14138986,23374008054.9,1997.55,1631.0,1653.16,5487083,38.81,EQ
2023-03-15,1668.0,1688.0,1661.6,1665.95,1648.25,4692363,7858791160.85,1997.55,1631.0,1674.8,1391968,29.66,EQ
2023-03-16,1670.0,1678.85,1648.2,1663.55,1665.95,3632063,6042792990.8,1997.55,1631.0,1663.74,2034992,56.03,EQ
2023-03-17,1679.6,1706.2,1671.15,1693.1,1663.55,8928301,15081229596.35,1997.55,1631.0,1689.15,6300354,70.57,EQ
2023-03-20,1687.0,1702.95,1681.05,1699.65,1693.1,4463937,7557605571.25,1997.55,1631.0,1693.04,2054144,46.02,EQ
2023-03-21,1707.55,1711.95,1692.0,1706.85,1699.65,1805180,3073457041.75,1997.55,1631.0,1702.58,717106,39.72,EQ
2023-03-22,1710.0,1713.2,1692.1,1705.15,1706.85,3326099,5658219385.65,1997.55,1631.0,1701.16,2018883,60.7,EQ
2023-03-23,1699.15,1700.0,1675.0,1679.7,1705.15,5642151,9535532697.75,1997.55,1631.0,1690.05,2352523,41.7,EQ
2023-03-24,1676.05,1708.95,1675.0,1692.15,1679.7,5480609,9282736166.5,1997.55,1631.0,1693.74,1340890,24.47,EQ
2023-03-27,1700.65,1712.85,1693.1,1705.2,1692.15,2837204,4837381446.65,1997.55,1631.0,1704.98,1102190,38.85,EQ
2023-03-28,1708.95,1709.8,1685.45,1698.9,1705.2,2371652,4027683487.3,1997.55,1631.0,1698.26,787678,33.21,EQ
2023-03-29,1700.1,1727.0,1695.0,1721.05,1698.9,2821000,4837502881.0,1997.55,1631.0,1714.82,1805918,64.02,EQ
2023-03-31,1725.5,1740.65,1721.0,1732.85,1721.05,3565755,6178171753.95,1997.55,1631.0,1732.64,2340347,65.63,EQ
2023-04-03,1734.0,1752.2,1733.2,1745.7,1732.85,2436866,4253573693.45,1997.55,1631.0,1745.51,1222729,50.18,EQ
2023-04-05,1745.0,1759.7,1739.05,1751.9,1745.7,2526350,4429836505.35,1997.55,1631.0,1753.45,1660706,65.74,EQ
2023-04-06,1750.0,1761.45,1739.35,1757.1,1751.9,1557355,2732631624.85,1997.55,1631.0,1754.66,829774,53.28,EQ
2023-04-10,1757.15,1768.0,1749.65,1759.3,1757.1,1253171,2206060362.25,1997.55,1631.0,1760.38,678578,54.15,EQ
2023-04-11,1847.2,1859.0,1826.0,1846.5,1759.3,9293763,17101162280.95,1997.55,1631.0,1840.07,4995861,53.75,EQ
2023-04-12,1842.0,1850.95,1831.5,1844.05,1846.5,3408713,6283329632.05,1997.55,1631.0,1843.31,2278840,66.85,EQ
2023-04-13,1838.0,1874.3,1831.0,1869.5,1844.05,2924116,5421031008.95,1997.55,1631.0,1853.9,1788759,61.17,EQ
2023-04-17,1888.95,1913.8,1826.1,1895.15,1869.5,10354299,19518789576.2,1997.55,1631.0,1885.09,8407742,81.2,EQ
2023-04-18,1900.95,1904.6,1885.9,1888.3,1895.15,2972721,5634003811.35,1997.55,1631.0,1895.23,1860955,62.6,EQ
2023-04-19,1888.3,1888.35,1876.15,1884.9,1888.3,1876656,3533772022.75,1997.55,1631.0,1883.02,1241753,66.17,EQ
2023-04-20,1884.3,1903.4,1872.05,1884.0,1884.9,2322777,4397954004.7,1997.55,1631.0,1893.4,1232779,53.07,EQ
2023-04-21,1882.0,1903.65,1877.15,1893.65,1884.0,1671341,3169185970.6,1997.55,1631.0,1896.19,828455,49.57,EQ
2023-04-24,1890.2,1902.0,1877.55,1897.25,1893.65,2017406,3812361614.9,1997.55,1631.0,1889.73,1071012,53.09,EQ
2023-04-25,1902.0,1907.0,1877.0,1889.3,1897.25,4738419,8948635302.25,1997.55,1631.0,1888.53,1435083,30.29,EQ
2023-04-26,1877.5,1894.4,1863.35,1878.6,1889.3,3159518,5922028136.75,1997.55,1631.0,1874.35,1343661,42.53,EQ
2023-04-27,1876.9,1913.0,1876.85,1908.6,1878.6,5061293,9613934593.75,1997.55,1631.0,1899.5,1967583,38.88,EQ
2023-04-28,1906.0,1943.3,1896.1,1938.05,1908.6,4367612,8398779972.0,1997.55,1631.0,1922.97,1870705,42.83,EQ
2023-05-02,1918.0,1937.45,1890.0,1921.15,1938.05,4605771,8833721860.3,1997.55,1631.0,1917.97,1907042,41.41,EQ
2023-05-03,1919.0,1933.85,1912.7,1930.95,1921.15,3449007,6638853711.6,1997.55,1631.0,1924.86,1416149,41.06,EQ
2023-05-04,1929.95,1951.1,1921.75,1947.6,1930.95,3451579,6683153043.45,1997.55,1631.0,1936.26,1510049,43.75,EQ
2023-05-05,1952.15,1974.0,1915.5,1928.7,1947.6,3484218,6800218322.95,1997.55,1631.0,1951.72,1476415,42.37,EQ
2023-05-08,1935.9,1968.5,1921.0,1958.85,1928.7,3870941,7587615229.3,1997.55,1631.0,1960.15,2011856,51.97,EQ
2023-05-09,1964.85,1970.0,1948.15,1954.3,1958.85,3623075,7102120753.75,1997.55,1631.0,1960.25,1804998,49.82,EQ
2023-05-10,1960.0,1964.0,1931.65,1958.7,1954.3,3912439,7636027662.5,1997.55,1631.0,1951.73,1758860,44.96,EQ
2023-05-11,1970.0,1980.0,1951.85,1957.95,1958.7,4411824,8658136736.0,1997.55,1631.0,1962.48,1925500,43.64,EQ
2023-05-12,1954.0,1968.0,1943.65,1960.6,1957.95,3217081,6289946422.75,1997.55,1631.0,1955.17,1626289,50.55,EQ
2023-05-15,1957.05,1977.0,1952.4,1973.0,1960.6,2971692,5849825936.05,1997.55,1631.0,1968.52,1477985,49.74,EQ
2023-05-16,1978.0,1978.0,1938.0,1947.05,1973.0,4569497,8955206834.9,1997.55,1631.0,1959.78,1908080,41.76,EQ
2023-05-17,1949.8,1950.9,1895.55,1909.15,1947.05,5482017,10490134116.95,1997.55,1631.0,1913.55,2744722,50.07,EQ
2023-05-18,1924.0,1933.65,1911.2,1927.4,1909.15,4145228,7976500585.15,1997.55,1631.0,1924.26,1841165,44.42,EQ
2023-05-19,1930.0,1946.85,1923.5,1941.65,1927.4,3946927,7630028672.8,1997.55,1631.0,1933.16,2379771,60.29,EQ
2023-05-22,1945.0,1952.5,1923.65,1940.2,1941.65,3400880,6601041520.6,1997.55,1631.0,1940.98,1485120,43.67,EQ
2023-05-23,1940.2,1940.2,1915.0,1921.5,1940.2,4335524,8340503828.1,1997.55,1631.0,1923.76,2081634,48.01,EQ
2023-05-24,1921.95,1940.0,1897.4,1910.35,1921.5,3557537,6832318522.0,1997.55,1631.0,1920.52,1755581,49.35,EQ
2023-05-25,1918.0,1933.55,1907.55,1929.95,1910.35,5966757,11468978411.85,1997.55,1631.0,1922.15,3451298,57.84,EQ
2023-05-26,1949.95,1949.95,1923.5,1945.05,1929.95,3295412,6384458591.8,1997.55,1631.0,1937.38,2061112,62.54,EQ
2023-05-29,1963.1,1973.3,1948.25,1953.2,1945.05,3775509,7391993127.6,1997.55,1631.0,1957.88,2645848,70.08,EQ
2023-05-30,1957.85,1979.1,1952.35,1974.7,1953.2,7429705,14628265545.35,1997.55,1631.0,1968.89,5084256,68.43,EQ
2023-05-31,1984.95,2064.4,1953.9,2014.35,1974.7,88598126,177961305207.7,2064.4,1631.0,2008.64,61186415,69.06,EQ
2023-06-01,1968.0,1979.15,1925.0,1930.05,2014.35,5967432,11581861981.0,2064.4,1631.0,1940.85,2729616,45.74,EQ
2023-06-02,1944.95,1951.35,1928.0,1938.75,1930.05,3558072,6899645420.05,2064.4,1631.0,1939.15,2155184,60.57,EQ
2023-06-05,1945.0,1951.5,1922.25,1924.9,1938.75,2405909,4663237633.35,2064.4,1631.0,1938.24,1252106,52.04,EQ
2023-06-06,1934.9,1966.4,1930.15,1959.05,1924.9,4112841,8016792243.85,2064.4,1631.0,1949.21,2461463,59.85,EQ
2023-06-07,1972.0,1972.0,1936.0,1939.4,1959.05,3100414,6030886444.5,2064.4,1631.0,1945.19,1425178,45.97,EQ
2023-06-08,1936.9,1936.9,1879.55,1886.5,1939.4,5491614,10449595228.3,2064.4,1631.0,1902.83,2009236,36.59,EQ
2023-06-09,1862.0,1897.7,1860.7,1872.0,1886.5,14196924,26622788168.2,2064.4,1631.0,1875.25,8062004,56.79,EQ
2023-06-12,1874.85,1884.0,1864.45,1879.45,1872.0,2815173,5281146601.5,2064.4,1631.0,1875.96,1835671,65.21,EQ
2023-06-13,1875.35,1883.0,1852.0,1855.95,1879.45,9561827,17796098934.9,2064.4,1631.0,1861.16,7511942,78.56,EQ
2023-06-14,1855.95,1867.95,1846.4,1864.65,1855.95,5578543,10355008456.45,2064.4,1631.0,1856.22,4200246,75.29,EQ
2023-06-15,1867.95,1869.0,1828.7,1833.5,1864.65,4838188,8929685601.8,2064.4,1631.0,1845.67,2982136,61.64,EQ
2023-06-16,1836.95,1861.65,1833.0,1857.4,1833.5,3197657,5907192895.5,2064.4,1631.0,1847.35,1958581,61.25,EQ
2023-06-19,1863.85,1868.45,1818.0,1824.55,1857.4,7609913,13919439634.85,2064.4,1631.0,1829.12,4912085,64.55,EQ
2023-06-20,1820.0,1847.0,1815.3,1844.0,1824.55,4622905,8463316149.4,2064.4,1631.0,1830.74,2883956,62.38,EQ
2023-06-21,1847.05,1849.75,1836.1,1845.55,1844.0,2399108,4422531344.55,2064.4,1631.0,1843.41,1569144,65.41,EQ
2023-06-22,1845.55,1847.3,1830.4,1836.1,1845.55,3428210,6299593671.65,2064.4,1631.0,1837.58,1362939,39.76,EQ
2023-06-23,1833.0,1845.55,1823.9,1828.55,1836.1,2584063,4742493451.1,2064.4,1631.0,1835.29,1179620,45.65,EQ
2023-06-26,1831.95,1831.95,1819.9,1822.95,1828.55,2213679,4040354808.65,2064.4,1631.0,1825.18,1253757,56.64,EQ
2023-06-27,1827.7,1847.0,1820.65,1844.7,1822.95,2138665,3925656050.5,2064.4,1631.0,1835.56,1238426,57.91,EQ
2023-06-28,1846.0,1848.1,1829.4,1840.55,1844.7,5339982,9824802659.75,2064.4,1631.0,1839.86,2461756,46.1,EQ
2023-06-30,1847.9,1850.55,1832.95,1846.55,1840.55,3934720,7249190171.2,2064.4,1631.0,1842.36,2725418,69.27,EQ
2023-07-03,1856.0,1859.0,1838.0,1843.95,1846.55,3208540,5927729187.45,2064.4,1643.5,1847.48,1469057,45.79,EQ
2023-07-04,1850.0,1868.35,1836.05,1861.7,1843.95,6575587,12181239287.4,2064.4,1643.5,1852.49,3710442,56.43,EQ
2023-07-05,1862.8,1867.8,1853.15,1864.85,1861.7,3119185,5801318510.3,2064.4,1643.5,1859.88,1523957,48.86,EQ
2023-07-06,1860.0,1882.85,1859.05,1877.3,1864.85,3654241,6843600294.2,2064.4,1643.5,1872.78,1439841,39.4,EQ
