Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,2092.9,2097.6,2075.05,2089.45,2085.8,807344,1686620365.65,2211.6,1456.35,2089.1,420718,52.11,EQ
2023-01-03,2088.0,2096.8,2067.95,2088.95,2089.45,1260225,2624218252.15,2211.6,1456.35,2082.34,742485,58.92,EQ
2023-01-04,2090.95,2101.45,2058.0,2070.55,2088.95,1015547,2102406151.6,2211.6,1456.35,2070.22,543678,53.54,EQ
2023-01-05,2080.0,2099.2,2068.5,2087.35,2070.55,1881403,3914641790.65,2211.6,1456.35,2080.7,1285361,68.32,EQ
2023-01-06,2090.2,2121.7,2071.85,2086.55,2087.35,1877917,3931694802.65,2211.6,1456.35,2093.65,975325,51.94,EQ
2023-01-09,2108.0,2127.3,2100.75,2121.7,2086.55,1844365,3904519265.85,2211.6,1456.35,2117.0,1201009,65.12,EQ
2023-01-10,2131.9,2131.9,2097.2,2106.65,2121.7,1425414,3015704811.25,2211.6,1456.35,2115.67,937059,65.74,EQ
2023-01-11,2106.1,2140.0,2097.1,2125.35,2106.65,1455621,3082063520.1,2211.6,1456.35,2117.35,922263,63.36,EQ
2023-01-12,2118.1,2164.65,2118.1,2159.75,2125.35,2726901,5870712119.9,2211.6,1456.35,2152.89,1721376,63.13,EQ
2023-01-13,2161.9,2164.85,2117.2,2153.4,2159.75,2180210,4665521018.6,2211.6,1456.35,2139.94,1259841,57.79,EQ
2023-01-16,2147.0,2161.0,2132.3,2137.2,2153.4,1009649,2165434772.05,2211.6,1456.35,2144.74,576989,57.15,EQ
2023-01-17,2139.9,2217.8,2136.4,2213.1,2137.2,4645453,10215009311.7,2217.8,1456.35,2198.93,2605697,56.09,EQ
2023-01-18,2221.0,2274.8,2200.0,2266.5,2213.1,4090049,9163476448.9,2274.8,1456.35,2240.43,2190580,53.56,EQ
2023-01-19,2259.85,2283.8,2241.0,2273.1,2266.5,2176835,4931700203.9,2283.8,1456.35,2265.54,1130398,51.93,EQ
2023-01-20,2282.45,2297.65,2238.45,2249.95,2273.1,1962410,4454881808.55,2297.65,1456.35,2270.11,988540,50.37,EQ
2023-01-23,2255.0,2273.3,2227.0,2233.5,2249.95,1466706,3290200925.8,2297.65,1456.35,2243.26,815502,55.6,EQ
2023-01-24,2244.7,2252.3,2200.0,2207.5,2233.5,1036962,2301629112.9,2297.65,1456.35,2219.59,525045,50.63,EQ
2023-01-25,2201.0,2205.0,2155.0,2174.7,2207.5,2134447,4637991515.4,2297.65,1456.35,2172.92,1244459,58.3,EQ
2023-01-27,2174.7,2195.0,2127.1,2159.85,2174.7,1647900,3544244338.55,2297.65,1456.35,2150.76,962156,58.39,EQ
2023-01-30,2129.4,2173.25,2083.8,2112.9,2159.85,3441304,7297862491.0,2297.65,1456.35,2120.67,2263080,65.76,EQ
2023-01-31,2119.95,2132.75,2072.65,2124.4,2112.9,4516463,9499419709.55,2297.65,1456.35,2103.29,2767252,61.27,EQ
2023-02-01,2133.0,2215.95,2080.3,2145.55,2124.4,6868872,14783134230.9,2297.65,1456.35,2152.19,3106803,45.23,EQ
2023-02-02,2135.6,2166.95,2107.85,2144.9,2145.55,3488506,7460432936.9,2297.65,1456.35,2138.58,1827787,52.39,EQ
