Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,8365.0,8454.0,8337.6,8403.3,8394.6,398159,3346884016.15,9769.0,6536.55,8405.9,207098,52.01,EQ
2023-01-03,8380.0,8402.0,8304.15,8382.75,8403.3,493207,4125121885.85,9769.0,6536.55,8363.88,301315,61.09,EQ
2023-01-04,8376.0,8537.05,8311.05,8422.8,8382.75,566744,4772678127.5,9769.0,6536.55,8421.22,262363,46.29,EQ
2023-01-05,8444.95,8475.0,8390.05,8461.1,8422.8,417716,3520800140.8,9769.0,6536.55,8428.69,233382,55.87,EQ
2023-01-06,8460.0,8483.95,8350.0,8383.05,8461.1,368978,3098457159.2,9769.0,6536.55,8397.4,206253,55.9,EQ
2023-01-09,8424.85,8446.95,8325.1,8377.0,8383.05,613406,5143833217.05,9769.0,6536.55,8385.69,390583,63.67,EQ
2023-01-10,8380.0,8410.0,8262.9,8293.15,8377.0,493677,4105720227.4,9769.0,6536.55,8316.61,306311,62.05,EQ
2023-01-11,8334.65,8334.65,8249.15,8284.45,8293.15,327536,2715092146.35,9769.0,6536.55,8289.45,172791,52.75,EQ
2023-01-12,8315.0,8377.0,8260.0,8369.2,8284.45,283772,2364626252.95,9769.0,6536.55,8332.84,128131,45.15,EQ
2023-01-13,8397.0,8500.05,8351.0,8453.4,8369.2,705220,5959182204.15,9769.0,6536.55,8450.1,438916,62.24,EQ
2023-01-16,8480.0,8514.3,8343.6,8380.1,8453.4,500575,4204730719.1,9769.0,6536.55,8399.8,270808,54.1,EQ
2023-01-17,8409.85,8493.3,8342.15,8479.35,8380.1,409248,3449376289.9,9769.0,6536.55,8428.57,237566,58.05,EQ
2023-01-18,8473.0,8537.4,8464.3,8494.05,8479.35,402883,3424833436.2,9769.0,6536.55,8500.81,224069,55.62,EQ
2023-01-19,8479.0,8519.0,8456.5,8501.65,8494.05,184776,1569369353.5,9769.0,6536.55,8493.36,78526,42.5,EQ
