Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,19616.65,19715.0,19501.25,19561.55,19606.0,25164,492991699.05,21050.0,16000.0,19591.15,10313,40.98,EQ
2023-01-03,19599.0,19760.95,19475.95,19727.3,19561.55,31415,617330296.75,21050.0,16000.0,19650.81,17240,54.88,EQ
2023-01-04,19780.0,19798.0,19500.0,19519.9,19727.3,31984,625730291.65,21050.0,16000.0,19563.85,16414,51.32,EQ
2023-01-05,19540.0,19894.15,19519.5,19776.0,19519.9,51393,1014068774.2,21050.0,16000.0,19731.65,22835,44.43,EQ
2023-01-06,19800.0,19926.45,19776.55,19885.25,19776.0,39386,782763501.65,21050.0,16000.0,19874.16,21627,54.91,EQ
2023-01-09,19934.95,20164.3,19896.5,20085.7,19885.25,36144,724974458.2,21050.0,16000.0,20057.95,19996,55.32,EQ
2023-01-10,20063.05,20189.0,19955.05,20023.95,20085.7,31668,635058562.8,21050.0,16000.0,20053.64,17241,54.44,EQ
2023-01-11,20070.0,20084.9,19717.4,19758.3,20023.95,32510,643839834.7,21050.0,16000.0,19804.36,15818,48.66,EQ
2023-01-12,19758.3,19950.0,19740.0,19873.25,19758.3,33062,655983158.45,21050.0,16000.0,19841.0,18366,55.55,EQ
2023-01-13,19950.0,19950.0,19725.05,19784.35,19873.25,34771,689213879.7,21050.0,16000.0,19821.51,20432,58.76,EQ
2023-01-16,19840.0,19840.0,19701.0,19735.6,19784.35,24265,479091882.45,21050.0,16000.0,19744.15,14887,61.35,EQ
2023-01-17,19735.9,19966.2,19712.7,19945.75,19735.6,40187,799557551.5,21050.0,16000.0,19895.93,24891,61.94,EQ
2023-01-18,19949.95,20041.9,19773.35,19823.35,19945.75,36399,723064327.95,21050.0,16000.0,19864.95,21825,59.96,EQ
2023-01-19,19823.35,19895.0,19611.65,19681.1,19823.35,30999,610288384.25,21050.0,16000.0,19687.36,15822,51.04,EQ
2023-01-20,19660.1,19667.85,19149.85,19200.05,19681.1,72022,1389761540.4,21050.0,16000.0,19296.35,40754,56.59,EQ
2023-01-23,19250.0,19440.0,19151.05,19367.1,19200.05,37900,733618473.15,21050.0,16000.0,19356.69,21487,56.69,EQ
2023-01-24,19400.0,19434.0,19148.8,19290.7,19367.1,37712,727075840.4,21050.0,16000.0,19279.69,23667,62.76,EQ
2023-01-25,19349.0,19350.5,19150.0,19235.5,19290.7,41160,791391761.05,21050.0,16000.0,19227.21,26603,64.63,EQ
2023-01-27,19260.05,19394.0,19026.05,19216.35,19235.5,44777,859079802.35,21050.0,16000.0,19185.74,26425,59.01,EQ
2023-01-30,19206.0,19213.65,18978.0,19165.9,19216.35,49830,952488137.55,21050.0,16000.0,19114.75,31638,63.49,EQ
2023-01-31,19200.0,19200.0,18929.0,19017.75,19165.9,117500,2234184681.2,21050.0,16000.0,19014.34,91147,77.57,EQ
2023-02-01,19100.0,19177.05,18915.25,19089.85,19017.75,68805,1311693255.7,21050.0,16000.0,19063.92,44748,65.04,EQ
2023-02-02,19129.0,19129.0,18850.5,18954.6,19089.85,70922,1344289852.8,21050.0,16000.0,18954.48,47687,67.24,EQ
2023-02-03,19005.4,19054.65,18770.1,19004.3,18954.6,55578,1051825086.2,21050.0,16000.0,18925.21,35545,63.96,EQ
2023-02-06,19000.0,19060.0,18754.3,19021.5,19004.3,69134,1309990864.6,21050.0,16000.0,18948.58,47158,68.21,EQ
2023-02-07,19024.0,19099.9,18880.0,18978.0,19021.5,39873,756736334.35,21050.0,16000.0,18978.67,24310,60.97,EQ
2023-02-08,18950.0,19064.85,18890.15,18994.9,18978.0,23267,441852170.3,21050.0,16000.0,18990.51,13068,56.17,EQ
2023-02-09,18999.0,19084.35,18950.85,19000.3,18994.9,34734,660329862.8,21050.0,16000.0,19011.05,22874,65.85,EQ
2023-02-10,19010.0,19070.15,18875.05,19023.85,19000.3,26383,500900033.65,21050.0,16000.0,18985.71,16643,63.08,EQ
2023-02-13,19095.0,19199.0,18949.95,19026.8,19023.85,32489,617783725.35,21050.0,16000.0,19015.17,20136,61.98,EQ
2023-02-14,19114.8,19260.0,19027.5,19082.9,19026.8,38589,739030985.55,21050.0,16000.0,19151.34,22397,58.04,EQ
2023-02-15,19075.0,19298.8,18930.05,19260.95,19082.9,31998,611874296.85,21050.0,16000.0,19122.27,16699,52.19,EQ
2023-02-16,19430.0,19799.85,19140.0,19628.85,19260.95,174007,3408542579.0,21050.0,16000.0,19588.54,41229,23.69,EQ
2023-02-17,19575.05,19575.05,18822.05,19021.3,19628.85,188435,3592854646.3,21050.0,16000.0,19066.81,70386,37.35,EQ
2023-02-20,19030.0,19145.0,18780.0,18823.05,19021.3,65311,1231935814.45,21050.0,16000.0,18862.61,32744,50.14,EQ
2023-02-21,18881.1,18933.8,18760.0,18848.7,18823.05,44954,847225575.3,21050.0,16000.0,18846.5,25170,55.99,EQ
2023-02-22,18882.8,18882.8,18631.15,18674.15,18848.7,42080,789021642.5,21050.0,16000.0,18750.51,21573,51.27,EQ
2023-02-23,18659.95,18824.15,18551.0,18648.0,18674.15,49268,921671838.0,21050.0,16000.0,18707.31,26780,54.36,EQ
2023-02-24,18741.25,18849.0,18615.0,18680.9,18648.0,38875,727801184.25,21050.0,16000.0,18721.57,19445,50.02,EQ
2023-02-27,18700.0,18845.0,18492.0,18622.75,18680.9,51625,961675663.7,21050.0,16000.0,18628.1,26295,50.93,EQ
2023-02-28,18630.2,18725.0,18460.15,18670.0,18622.75,109182,2033894484.05,21050.0,16000.0,18628.48,70570,64.64,EQ
2023-03-01,18700.0,18820.4,18575.15,18778.85,18670.0,63926,1197406741.8,21050.0,16000.0,18731.14,43848,68.59,EQ
2023-03-02,18799.95,18800.0,18456.8,18481.75,18778.85,39070,725844865.65,21050.0,16000.0,18578.06,23648,60.53,EQ
2023-03-03,18549.0,18614.65,18405.5,18449.9,18481.75,46018,849978075.65,21050.0,16000.0,18470.56,27479,59.71,EQ
2023-03-06,18522.0,18554.05,18425.0,18514.85,18449.9,52949,979122717.25,21050.0,16000.0,18491.81,36555,69.04,EQ
