Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,147.3,150.8,147.25,150.45,146.75,9631496,1440055190.45,194.95,119.85,149.52,3759412,39.03,EQ
2023-01-03,149.7,150.6,148.0,149.55,150.45,14991139,2237242158.25,194.95,119.85,149.24,7314324,48.79,EQ
2023-01-04,148.8,148.85,145.0,146.25,149.55,13535874,1981557181.95,194.95,119.85,146.39,7631425,56.38,EQ
2023-01-05,145.85,147.0,144.15,146.5,146.25,16320559,2383214307.7,194.95,119.85,146.03,9161480,56.13,EQ
2023-01-06,146.7,148.1,146.3,147.35,146.5,16804116,2473672958.5,194.95,119.85,147.21,11278894,67.12,EQ
2023-01-09,149.3,150.2,147.8,148.15,147.35,18660445,2777996611.1,194.95,119.85,148.87,10932058,58.58,EQ
2023-01-10,148.6,150.3,148.6,149.35,148.15,18490715,2761527128.15,194.95,119.85,149.35,13081714,70.75,EQ
2023-01-11,149.5,150.0,146.25,146.8,149.35,12538238,1849695176.3,194.95,119.85,147.52,7701712,61.43,EQ
2023-01-12,147.7,148.25,145.75,146.15,146.8,13270422,1946490436.8,194.95,119.85,146.68,7953138,59.93,EQ
2023-01-13,146.4,147.5,145.9,146.95,146.15,8854484,1301493351.3,194.95,119.85,146.99,5499641,62.11,EQ
2023-01-16,147.7,147.8,146.0,147.6,146.95,9696320,1426834847.3,194.95,119.85,147.15,5994905,61.83,EQ
2023-01-17,148.3,149.0,146.65,147.85,147.6,18484595,2728828194.4,194.95,119.85,147.63,10282248,55.63,EQ
2023-01-18,148.25,149.75,148.2,149.25,147.85,12139643,1812050382.6,194.95,119.85,149.27,6625723,54.58,EQ
2023-01-19,148.05,152.1,148.05,151.75,149.25,18437610,2784726290.75,194.95,119.85,151.04,11269323,61.12,EQ
2023-01-20,152.0,152.5,150.55,151.6,151.75,17512691,2656438650.75,194.95,119.85,151.69,11431377,65.27,EQ
2023-01-23,152.55,153.1,151.35,152.35,151.6,16742252,2548823894.5,194.95,119.85,152.24,11704962,69.91,EQ
2023-01-24,152.35,153.2,151.6,152.15,152.35,8276792,1263042949.45,194.95,119.85,152.6,4605684,55.65,EQ
2023-01-25,151.25,153.4,151.15,152.45,152.15,9827342,1492281552.55,194.95,119.85,151.85,6605841,67.22,EQ
2023-01-27,152.45,154.15,146.6,147.65,152.45,13052535,1941815374.9,194.95,119.85,148.77,7395930,56.66,EQ
2023-01-30,147.5,148.85,143.25,144.9,147.65,12688399,1843308002.55,194.95,119.85,145.28,6447755,50.82,EQ
2023-01-31,145.15,147.9,144.25,144.9,144.9,19050398,2776838770.9,194.95,119.85,145.76,11415835,59.92,EQ
2023-02-01,145.8,146.0,142.35,144.25,144.9,11526089,1665297531.75,194.95,119.85,144.48,6331464,54.93,EQ
2023-02-02,143.0,145.0,140.65,143.45,144.25,11886667,1691412852.45,194.95,119.85,142.29,6167141,51.88,EQ
2023-02-03,143.5,145.35,140.1,144.3,143.45,9250428,1318042525.05,194.95,119.85,142.48,4497593,48.62,EQ
2023-02-06,141.7,144.2,141.6,143.5,144.3,6436143,923528014.8,194.95,119.85,143.49,3047425,47.35,EQ
2023-02-07,143.9,144.95,142.2,144.65,143.5,8681511,1248443111.65,194.95,119.85,143.8,4862659,56.01,EQ
2023-02-08,145.4,145.9,143.15,143.9,144.65,10325869,1488766330.7,194.95,119.85,144.18,5629528,54.52,EQ
2023-02-09,144.65,146.4,143.2,146.2,143.9,8078404,1169153874.5,194.95,119.85,144.73,4703939,58.23,EQ
2023-02-10,146.15,147.0,144.8,146.7,146.2,6396208,933331811.35,194.95,119.85,145.92,2478035,38.74,EQ
2023-02-13,147.45,148.8,146.6,148.15,146.7,6563018,970031207.7,194.95,119.85,147.8,2540489,38.71,EQ
2023-02-14,148.65,149.2,147.0,148.45,148.15,6991500,1037454274.35,194.95,119.85,148.39,2595349,37.12,EQ
2023-02-15,149.0,149.4,145.5,147.5,148.45,12631259,1857700442.85,194.95,119.85,147.07,5223840,41.36,EQ
2023-02-16,150.0,156.45,148.4,155.9,147.5,30949761,4752674715.45,194.95,119.85,153.56,7550874,24.4,EQ
2023-02-17,155.5,158.8,154.4,156.6,155.9,19874561,3111359609.15,194.95,119.85,156.55,4528801,22.79,EQ
2023-02-20,157.2,157.8,154.4,154.85,156.6,8348393,1302069663.3,194.95,119.85,155.97,2787873,33.39,EQ
2023-02-21,154.9,155.9,153.45,154.1,154.85,7599927,1174956812.65,194.95,119.85,154.6,3336754,43.91,EQ
2023-02-22,154.25,154.5,151.7,153.6,154.1,9599697,1469740131.9,194.95,119.85,153.1,4454472,46.4,EQ
2023-02-23,153.7,156.2,153.25,154.65,153.6,18675946,2893082654.85,194.95,119.85,154.91,11279711,60.4,EQ
2023-02-24,151.75,155.35,149.75,155.0,154.65,14648507,2236647151.7,194.95,119.85,152.69,5686345,38.82,EQ
2023-02-27,154.0,156.05,153.0,155.25,155.0,11904749,1840545684.05,194.95,119.85,154.61,5036588,42.31,EQ
2023-02-28,154.15,155.45,151.2,152.05,155.25,17607584,2696086740.85,194.95,119.85,153.12,11424294,64.88,EQ
2023-03-01,152.0,155.1,151.85,154.8,152.05,7707977,1185350337.0,194.95,119.85,153.78,3902572,50.63,EQ
2023-03-02,154.5,155.05,152.65,154.05,154.8,8219892,1264691718.9,194.95,119.85,153.86,3186809,38.77,EQ
2023-03-03,154.0,155.7,153.45,154.25,154.05,8260104,1279050256.55,194.95,119.85,154.85,3968513,48.04,EQ
2023-03-06,154.7,159.7,153.55,158.2,154.25,14491522,2283890289.1,194.95,119.85,157.6,5984879,41.3,EQ
2023-03-08,156.55,158.85,156.4,158.25,158.2,7339476,1159245389.45,194.95,119.85,157.95,3416279,46.55,EQ
2023-03-09,159.05,159.15,156.05,156.3,158.25,5314022,834841343.5,194.95,119.85,157.1,2444561,46.0,EQ
2023-03-10,155.6,156.7,154.2,155.8,156.3,4689681,729127221.2,194.95,119.85,155.47,1551155,33.08,EQ
2023-03-13,156.2,158.0,155.2,155.8,155.8,8785721,1376991359.75,181.25,119.85,156.73,3549535,40.4,EQ
2023-03-14,155.8,156.85,153.05,153.3,155.8,7177342,1111288474.35,181.25,119.85,154.83,3055389,42.57,EQ
