Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,2550.0,2579.0,2548.2,2575.9,2547.2,2453414,6292210762.05,2856.15,2180.0,2564.68,1251899,51.03,EQ
2023-01-03,2565.05,2573.0,2547.8,2557.05,2575.9,3534596,9043199290.7,2856.15,2180.0,2558.48,1876879,53.1,EQ
2023-01-04,2557.0,2561.05,2514.0,2518.55,2557.05,4275746,10816399502.15,2856.15,2180.0,2529.71,2633647,61.6,EQ
2023-01-05,2523.5,2536.4,2504.0,2514.05,2518.55,6293519,15837639744.3,2856.15,2180.0,2516.5,4398483,69.89,EQ
2023-01-06,2526.65,2547.95,2518.3,2536.9,2514.05,2930338,7428125091.15,2856.15,2180.0,2534.9,1277644,43.6,EQ
2023-01-09,2545.3,2602.0,2543.35,2596.8,2536.9,4948549,12779628419.65,2856.15,2180.0,2582.5,3120482,63.06,EQ
2023-01-10,2606.0,2606.0,2546.0,2558.4,2596.8,3713755,9539991868.55,2856.15,2180.0,2568.83,2057669,55.41,EQ
2023-01-11,2552.5,2558.0,2521.1,2526.15,2558.4,5311657,13459164952.45,2856.15,2180.0,2533.89,3471261,65.35,EQ
2023-01-12,2524.85,2532.5,2465.0,2471.6,2526.15,8163366,20306272476.25,2856.15,2180.0,2487.49,5251960,64.34,EQ
2023-01-13,2458.4,2472.9,2434.6,2467.6,2471.6,9515473,23358292572.35,2856.15,2180.0,2454.77,6324627,66.47,EQ
2023-01-16,2472.7,2479.65,2427.0,2444.1,2467.6,6287407,15373325638.55,2856.15,2180.0,2445.1,4495622,71.5,EQ
2023-01-17,2458.0,2483.0,2450.6,2478.8,2444.1,4961585,12239650262.85,2856.15,2180.0,2466.88,3003139,60.53,EQ
2023-01-18,2473.5,2491.1,2460.35,2474.7,2478.8,6206382,15372236749.05,2856.15,2180.0,2476.84,4205017,67.75,EQ
2023-01-19,2472.9,2481.15,2456.65,2472.05,2474.7,5510333,13623898939.8,2856.15,2180.0,2472.43,3731869,67.72,EQ
2023-01-20,2475.0,2475.0,2437.25,2442.65,2472.05,6890325,16897629055.85,2856.15,2180.0,2452.37,4017843,58.31,EQ
2023-01-23,2449.0,2466.2,2425.0,2430.3,2442.65,5055324,12336710126.65,2856.15,2180.0,2440.34,2919027,57.74,EQ
2023-01-24,2440.0,2443.65,2387.35,2415.95,2430.3,7609558,18371644661.35,2856.15,2180.0,2414.29,4390622,57.7,EQ
2023-01-25,2412.45,2414.7,2380.0,2382.55,2415.95,5715684,13674734133.05,2856.15,2180.0,2392.49,4112953,71.96,EQ
2023-01-27,2384.4,2387.35,2311.65,2337.35,2382.55,11920991,27866937052.4,2856.15,2180.0,2337.64,8175005,68.58,EQ
2023-01-30,2331.7,2371.9,2301.0,2359.75,2337.35,10047822,23521008144.6,2856.15,2180.0,2340.91,7139843,71.06,EQ
2023-01-31,2382.0,2387.65,2341.0,2353.85,2359.75,10472167,24656384337.05,2856.15,2180.0,2354.47,7564934,72.24,EQ
2023-02-01,2379.95,2379.95,2305.0,2339.9,2353.85,8929007,20995229704.3,2856.15,2180.0,2351.35,5772174,64.65,EQ
2023-02-02,2318.0,2348.0,2311.0,2326.95,2339.9,6305317,14659321464.4,2856.15,2180.0,2324.91,4153622,65.87,EQ
2023-02-03,2349.0,2349.0,2293.0,2329.0,2326.95,11398850,26432510094.95,2856.15,2180.0,2318.88,7973555,69.95,EQ
2023-02-06,2315.0,2321.0,2305.8,2311.45,2329.0,6847679,15831318495.45,2856.15,2180.0,2311.92,5191602,75.82,EQ
2023-02-07,2312.0,2327.4,2293.0,2305.9,2311.45,6985001,16151225520.2,2856.15,2180.0,2312.27,4749078,67.99,EQ
2023-02-08,2313.0,2359.9,2307.0,2351.95,2305.9,9765490,22899822662.1,2856.15,2180.0,2344.97,6767529,69.3,EQ
2023-02-09,2353.45,2370.85,2334.0,2356.05,2351.95,6079228,14316005705.25,2856.15,2180.0,2354.91,3862283,63.53,EQ
2023-02-10,2354.9,2354.9,2321.3,2336.65,2356.05,4979789,11611724209.05,2856.15,2180.0,2331.77,2634108,52.9,EQ
2023-02-13,2340.2,2350.0,2313.55,2323.35,2336.65,4777674,11100881219.9,2856.15,2180.0,2323.49,2780205,58.19,EQ
2023-02-14,2329.95,2381.9,2323.65,2378.1,2323.35,6609564,15635420227.95,2856.15,2180.0,2365.58,4049724,61.27,EQ
2023-02-15,2376.0,2437.2,2373.0,2431.95,2378.1,15461902,37379921255.85,2856.15,2180.0,2417.55,11644633,75.31,EQ
2023-02-16,2449.45,2463.8,2425.05,2430.05,2431.95,7967558,19483314957.8,2856.15,2180.0,2445.33,5539874,69.53,EQ
2023-02-17,2420.0,2447.5,2410.6,2440.2,2430.05,5450092,13260980980.85,2856.15,2180.0,2433.17,3430691,62.95,EQ
2023-02-20,2445.0,2449.75,2410.1,2414.4,2440.2,4078245,9908416474.3,2856.15,2180.0,2429.58,2228609,54.65,EQ
2023-02-21,2424.0,2446.8,2412.35,2434.1,2414.4,6143298,14916458652.9,2856.15,2180.0,2428.09,3795226,61.78,EQ
2023-02-22,2425.95,2430.0,2375.05,2378.9,2434.1,5087729,12188888236.7,2856.15,2180.0,2395.74,3193068,62.76,EQ
2023-02-23,2378.0,2394.75,2361.35,2367.5,2378.9,4546655,10807833963.95,2856.15,2180.0,2377.1,2500479,55.0,EQ
2023-02-24,2372.0,2396.15,2368.0,2383.7,2367.5,4353814,10368796539.4,2856.15,2180.0,2381.54,2464268,56.6,EQ
2023-02-27,2382.0,2389.65,2351.7,2367.85,2383.7,5168667,12230093429.05,2856.15,2180.0,2366.2,3233733,62.56,EQ
2023-02-28,2356.1,2367.0,2313.65,2322.55,2367.85,10150245,23690436663.8,2856.15,2180.0,2333.98,6372032,62.78,EQ
2023-03-01,2344.0,2345.5,2323.25,2343.9,2322.55,5330852,12456284409.25,2856.15,2180.0,2336.64,3103711,58.22,EQ
2023-03-02,2337.0,2351.65,2321.6,2326.05,2343.9,4307425,10051732048.9,2856.15,2180.0,2333.58,2422136,56.23,EQ
2023-03-03,2349.15,2393.45,2341.55,2385.4,2326.05,6758115,15994200481.7,2856.15,2180.0,2366.67,4146741,61.36,EQ
2023-03-06,2400.0,2424.6,2400.0,2408.7,2385.4,4694338,11324034037.1,2856.15,2180.0,2412.27,2606276,55.52,EQ
2023-03-08,2408.7,2419.0,2385.0,2417.35,2408.7,7283694,17532425276.0,2856.15,2180.0,2407.08,4111112,56.44,EQ
2023-03-09,2416.0,2416.9,2355.1,2359.25,2417.35,7492509,17810328720.9,2856.15,2180.0,2377.08,4508290,60.17,EQ
