Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,614.95,619.2,611.2,612.2,613.7,6726084,4132615299.65,629.55,425.0,614.42,2430000,36.13,EQ
2023-01-03,614.5,616.6,610.0,612.4,612.2,6818062,4181258078.2,629.55,425.0,613.26,2451217,35.95,EQ
2023-01-04,611.85,614.95,604.0,605.2,612.4,7011191,4260969479.35,629.55,425.0,607.74,2922723,41.69,EQ
2023-01-05,607.0,611.6,601.95,605.1,605.2,8241475,4992982082.0,629.55,425.0,605.84,4011597,48.68,EQ
2023-01-06,607.4,607.45,597.0,600.65,605.1,7972036,4795747048.6,629.55,425.0,601.57,4150827,52.07,EQ
2023-01-09,605.0,609.0,600.1,607.7,600.65,8878905,5381251510.2,629.55,425.0,606.07,5216863,58.76,EQ
2023-01-10,608.45,609.0,590.6,595.15,607.7,10622660,6332208142.65,629.55,425.0,596.1,4795085,45.14,EQ
2023-01-11,596.45,599.5,592.25,596.7,595.15,7419630,4427502701.85,629.55,425.0,596.73,2744770,36.99,EQ
2023-01-12,597.9,597.9,590.1,594.9,596.7,8183715,4857601333.75,629.55,425.0,593.57,4061846,49.63,EQ
2023-01-13,597.9,602.9,593.65,600.1,594.9,7877610,4716567188.3,629.55,425.0,598.73,3570587,45.33,EQ
2023-01-16,603.0,606.1,600.6,603.0,600.1,5483191,3307558082.15,629.55,425.0,603.22,1786991,32.59,EQ
2023-01-17,603.0,606.0,586.05,592.95,603.0,13461999,7995508779.4,629.55,425.0,593.93,6202110,46.07,EQ
2023-01-18,595.9,597.15,587.6,591.45,592.95,11538075,6826073685.45,629.55,425.0,591.61,5228386,45.31,EQ
2023-01-19,591.0,591.75,587.55,589.85,591.45,7475688,4407407361.6,629.55,425.0,589.57,3600314,48.16,EQ
2023-01-20,593.8,596.6,590.8,592.2,589.85,6750607,4009374692.95,629.55,425.0,593.93,2836387,42.02,EQ
2023-01-23,598.5,601.75,592.95,600.45,592.2,6604469,3958919244.8,629.55,425.0,599.43,3055907,46.27,EQ
2023-01-24,603.5,604.6,593.05,594.35,600.45,7609623,4550101925.85,629.55,425.0,597.94,4278719,56.23,EQ
2023-01-25,595.85,595.85,567.4,568.7,594.35,25686294,14751042028.8,629.55,425.0,574.28,14755095,57.44,EQ
2023-01-27,568.0,568.55,532.25,539.95,568.7,40163464,22012948569.6,629.55,425.0,548.08,24614678,61.29,EQ
2023-01-30,536.0,554.35,525.2,538.2,539.95,40797825,21907160847.25,629.55,425.0,536.97,23132765,56.7,EQ
2023-01-31,545.0,557.0,537.85,553.5,538.2,21911943,12069723500.85,629.55,425.0,550.83,10014509,45.7,EQ
2023-02-01,561.4,565.0,499.35,527.35,553.5,38218810,20692138679.1,629.55,425.0,541.41,12477291,32.65,EQ
