Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,23296.5,23519.95,23139.0,23454.7,23289.45,23428,547171057.3,27936.75,17865.2,23355.43,7662,32.7,EQ
2023-01-03,23470.0,23789.7,23452.0,23732.95,23454.7,20755,489602013.55,27936.75,17865.2,23589.59,8000,38.54,EQ
2023-01-04,23699.95,24590.0,23660.0,24007.55,23732.95,94884,2290635360.6,27936.75,17865.2,24141.43,22307,23.51,EQ
2023-01-05,24129.95,24379.75,23904.7,24238.0,24007.55,44843,1083884560.25,27936.75,17865.2,24170.65,16307,36.36,EQ
2023-01-06,24300.0,24366.65,23552.1,23853.05,24238.0,28542,682833751.25,27936.75,17865.2,23923.82,6135,21.49,EQ
2023-01-09,23972.35,24048.0,23663.0,23752.3,23853.05,17654,420548144.2,27936.75,17865.2,23821.69,6868,38.9,EQ
2023-01-10,23840.0,23900.0,23205.0,23559.5,23752.3,31716,745290100.1,27936.75,17865.2,23498.87,10649,33.58,EQ
2023-01-11,23600.0,23771.95,23250.0,23516.7,23559.5,19213,450651011.05,27936.75,17865.2,23455.53,4560,23.73,EQ
2023-01-12,23530.0,24000.0,23504.55,23854.85,23516.7,37645,895979308.75,27936.75,17865.2,23800.75,17841,47.39,EQ
2023-01-13,23998.0,24290.25,23750.0,24139.75,23854.85,42213,1015479840.3,27936.75,17865.2,24056.09,18018,42.68,EQ
2023-01-16,24120.0,24280.0,23980.5,24060.4,24139.75,25269,609786905.9,27936.75,17865.2,24131.82,12578,49.78,EQ
2023-01-17,24000.0,24194.4,23930.65,24091.55,24060.4,18810,453132037.3,27936.75,17865.2,24089.95,7124,37.87,EQ
2023-01-18,24015.05,24138.6,23817.0,24059.9,24091.55,22616,542497192.75,27936.75,17865.2,23987.32,8297,36.69,EQ
2023-01-19,24000.0,24480.0,23849.9,24389.5,24059.9,28281,686581207.5,27936.75,17865.2,24277.12,10422,36.85,EQ
2023-01-20,24350.0,24773.0,24200.0,24420.95,24389.5,44330,1087374840.1,27936.75,17865.2,24529.1,19625,44.27,EQ
2023-01-23,24449.95,24549.5,22945.0,23037.05,24420.95,67600,1586901656.4,26340.0,17865.2,23474.88,15561,23.02,EQ
2023-01-24,23152.25,23347.7,22440.05,22608.4,23037.05,84528,1918897379.7,26340.0,17865.2,22701.32,14584,17.25,EQ
2023-01-25,22650.0,22792.6,22002.05,22146.8,22608.4,47092,1046290079.25,26340.0,17865.2,22218.0,6998,14.86,EQ
2023-01-27,22257.55,22379.9,21410.0,21901.2,22146.8,52018,1135217507.1,26340.0,17865.2,21823.55,15560,29.91,EQ
2023-01-30,21860.0,22730.0,21860.0,22585.35,21901.2,54148,1217300774.65,26340.0,17865.2,22480.99,14530,26.83,EQ
2023-01-31,22704.2,23743.6,22704.2,23684.55,22585.35,82554,1926215296.55,26340.0,17865.2,23332.79,36419,44.12,EQ
2023-02-01,23740.2,24670.0,23450.0,23916.95,23684.55,111351,2688841626.15,26340.0,17865.2,24147.44,40690,36.54,EQ
2023-02-02,23850.0,24699.9,23750.0,24523.25,23916.95,72967,1781049571.1,26340.0,17865.2,24408.97,19523,26.76,EQ
2023-02-03,24500.0,24742.8,24270.0,24467.6,24523.25,54355,1333825480.85,26340.0,17865.2,24539.15,15896,29.24,EQ
2023-02-06,24318.95,24359.95,24000.0,24120.95,24467.6,30089,726972125.65,26340.0,17865.2,24160.73,8339,27.71,EQ
2023-02-07,24132.0,24410.0,24025.0,24262.25,24120.95,38892,942168732.9,26340.0,17865.2,24225.26,13457,34.6,EQ
2023-02-08,24368.85,24604.85,23750.0,24239.95,24262.25,81785,1977041904.7,26340.0,17865.2,24173.65,16067,19.65,EQ
2023-02-09,23960.0,24150.0,23090.5,23199.8,24239.95,72685,1708962219.9,26340.0,17865.2,23511.9,26439,36.37,EQ
2023-02-10,23292.5,24074.0,22752.0,23970.6,23199.8,70017,1654729627.95,26340.0,17865.2,23633.26,9749,13.92,EQ
2023-02-13,23999.0,24550.0,23812.4,24194.4,23970.6,77436,1877181490.6,26340.0,17865.2,24241.72,24624,31.8,EQ
2023-02-14,24145.8,24729.0,24061.75,24634.8,24194.4,75478,1849670186.85,26340.0,17865.2,24506.08,18253,24.18,EQ
2023-02-15,24560.0,25000.0,24290.05,24890.55,24634.8,54111,1339044036.15,26340.0,17865.2,24746.24,17280,31.93,EQ
2023-02-16,24904.0,25175.0,24830.0,25117.6,24890.55,50403,1261592801.0,26340.0,17865.2,25030.11,19176,38.05,EQ
2023-02-17,24950.0,26050.05,24830.25,25757.4,25117.6,132205,3385506155.9,26340.0,17865.2,25608.0,47130,35.65,EQ
2023-02-20,25600.0,26925.95,25540.0,26512.9,25757.4,187893,4987758479.8,26925.95,17865.2,26545.74,45936,24.45,EQ
2023-02-21,26460.05,27049.0,26317.5,26530.9,26512.9,128006,3413816370.7,27049.0,17865.2,26669.19,30543,23.86,EQ
2023-02-22,26530.0,26530.0,25875.0,26214.9,26530.9,93446,2442681315.6,27049.0,17865.2,26140.03,21814,23.34,EQ
2023-02-23,26219.95,26499.15,25588.0,25634.65,26214.9,78884,2041164602.95,27049.0,17865.2,25875.52,29243,37.07,EQ
2023-02-24,25750.0,25875.0,25200.0,25412.8,25634.65,31612,807713631.3,27049.0,17865.2,25550.86,3359,10.63,EQ
2023-02-27,25350.0,26004.9,24880.0,25645.05,25412.8,38186,967079538.55,27049.0,17865.2,25325.5,8939,23.41,EQ
2023-02-28,25773.3,26214.0,25621.0,26087.95,25645.05,63139,1638408682.85,27049.0,17865.2,25949.23,23522,37.25,EQ
2023-03-01,25910.0,26420.0,25899.95,26329.5,26087.95,29240,767543379.9,27049.0,17865.2,26249.77,5557,19.0,EQ
