Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,1001.4,1001.4,987.2,997.0,1001.4,1616012,1610403828.4,1070.95,784.8,996.53,903230,55.89,EQ
2023-01-03,993.0,1012.8,988.0,1009.1,997.0,1810117,1808621778.45,1070.95,784.8,999.17,929561,51.35,EQ
2023-01-04,1012.0,1025.9,1000.75,1004.1,1009.1,2573870,2609121178.85,1070.95,784.8,1013.7,1199576,46.61,EQ
2023-01-05,1009.1,1021.9,1008.25,1016.2,1004.1,2246533,2281022996.6,1070.95,784.8,1015.35,1354291,60.28,EQ
2023-01-06,1015.0,1021.8,1004.1,1008.7,1016.2,1773153,1800969070.8,1070.95,784.8,1015.69,1202171,67.8,EQ
2023-01-09,1015.0,1023.35,1010.5,1016.85,1008.7,1567316,1594105703.25,1070.95,784.8,1017.09,1068973,68.2,EQ
2023-01-10,1016.0,1024.0,1010.05,1011.85,1016.85,1607654,1634714071.8,1070.95,784.8,1016.83,1078108,67.06,EQ
2023-01-11,1012.0,1033.05,1008.35,1028.0,1011.85,3258157,3336979686.25,1070.95,784.8,1024.19,1963835,60.27,EQ
2023-01-12,1031.95,1035.45,1021.15,1032.85,1028.0,1641398,1687947431.65,1070.95,784.8,1028.36,1021088,62.21,EQ
2023-01-13,1031.15,1035.0,1020.15,1031.6,1032.85,1491367,1534713373.4,1070.95,784.8,1029.06,841455,56.42,EQ
2023-01-16,1031.6,1039.5,1026.1,1035.45,1031.6,1437532,1486130739.85,1070.95,784.8,1033.81,904887,62.95,EQ
2023-01-17,1035.45,1036.0,1026.8,1032.7,1035.45,1245848,1284339974.25,1070.95,784.8,1030.9,731922,58.75,EQ
2023-01-18,1032.7,1041.5,1030.15,1040.1,1032.7,1238451,1284215816.0,1070.95,784.8,1036.95,754412,60.92,EQ
2023-01-19,1038.1,1044.0,1036.0,1040.55,1040.1,824263,857555579.5,1070.95,784.8,1040.39,462786,56.15,EQ
2023-01-20,1044.05,1047.5,1016.85,1030.35,1040.55,2963571,3049530869.9,1070.95,784.8,1029.01,1668588,56.3,EQ
2023-01-23,1035.0,1054.9,1022.5,1049.3,1030.35,2106604,2202226115.05,1070.95,784.8,1045.39,1246483,59.17,EQ
2023-01-24,1050.0,1050.95,1034.55,1040.7,1049.3,2088556,2173381850.05,1070.95,784.8,1040.61,1545332,73.99,EQ
2023-01-25,1030.3,1045.65,1030.3,1040.05,1040.7,1753333,1818086719.5,1070.95,784.8,1036.93,1188923,67.81,EQ
2023-01-27,1044.95,1051.0,1034.0,1043.4,1040.05,3448013,3592574126.65,1070.95,784.8,1041.93,2667018,77.35,EQ
2023-01-30,1041.95,1072.15,1040.2,1051.7,1043.4,3320916,3505585712.65,1072.15,789.9,1055.61,1770308,53.31,EQ
2023-01-31,1055.0,1060.3,1026.05,1034.5,1051.7,5265462,5459193190.45,1072.15,789.9,1036.79,3243218,61.59,EQ
2023-02-01,1036.45,1043.95,1005.1,1014.9,1034.5,4717887,4781808031.3,1072.15,789.9,1013.55,2790885,59.16,EQ
2023-02-02,1009.95,1015.7,993.0,1007.6,1014.9,2117181,2126792888.0,1072.15,789.9,1004.54,1309603,61.86,EQ
2023-02-03,1007.0,1032.45,1001.65,1028.15,1007.6,2332076,2376975684.7,1072.15,789.9,1019.25,1490640,63.92,EQ
2023-02-06,1020.0,1025.95,1012.75,1023.35,1028.15,1215157,1238704755.85,1072.15,789.9,1019.38,678708,55.85,EQ
2023-02-07,1026.25,1028.5,1002.0,1006.4,1023.35,2360600,2380862859.2,1072.15,789.9,1008.58,1585741,67.18,EQ
2023-02-08,1004.8,1016.9,997.4,1013.0,1006.4,1815142,1826882467.2,1072.15,789.9,1006.47,1127544,62.12,EQ
2023-02-09,1003.0,1021.2,1001.4,1006.8,1013.0,1474402,1487037563.05,1072.15,789.9,1008.57,866211,58.75,EQ
2023-02-10,1006.8,1014.35,996.7,1006.6,1006.8,1530150,1536097726.8,1072.15,789.9,1003.89,919037,60.06,EQ
2023-02-13,1008.25,1017.35,1002.0,1015.25,1006.6,1355766,1370890955.4,1072.15,789.9,1011.16,741415,54.69,EQ
2023-02-14,1018.0,1018.05,1003.25,1006.75,1015.25,1832842,1847056702.9,1072.15,789.9,1007.76,1269327,69.25,EQ
2023-02-15,1002.0,1006.4,990.55,995.4,1006.75,2251350,2244151608.95,1072.15,789.9,996.8,1478650,65.68,EQ
2023-02-16,998.9,1010.0,991.2,995.15,995.4,1678410,1678570146.65,1072.15,789.9,1000.1,973226,57.98,EQ
2023-02-17,992.2,996.5,982.0,984.5,995.15,1847026,1827757013.35,1072.15,789.9,989.57,1242989,67.3,EQ
2023-02-20,990.15,991.65,974.95,984.4,984.5,2157871,2122136783.5,1072.15,789.9,983.44,1395889,64.69,EQ
2023-02-21,990.0,990.8,969.15,971.6,984.4,1771813,1729006961.15,1072.15,789.9,975.84,1153493,65.1,EQ
2023-02-22,971.55,978.0,966.0,968.55,971.6,2605147,2531868459.45,1072.15,789.9,971.87,1749714,67.16,EQ
2023-02-23,973.0,977.25,964.05,972.5,968.55,2835983,2754934206.3,1072.15,789.9,971.42,1894155,66.79,EQ
2023-02-24,970.6,983.35,963.7,970.5,972.5,1823835,1774060168.2,1072.15,789.9,972.71,964460,52.88,EQ
2023-02-27,970.5,972.55,960.05,965.05,970.5,1548675,1495769223.8,1072.15,789.9,965.84,1086931,70.18,EQ
2023-02-28,969.0,976.0,954.0,956.6,965.05,3819644,3675419716.7,1072.15,789.9,962.24,2606034,68.23,EQ
2023-03-01,951.0,966.05,951.0,959.3,956.6,1862513,1789724304.45,1072.15,789.9,960.92,1166836,62.65,EQ
2023-03-02,960.0,967.0,951.1,965.3,959.3,1510195,1450173381.15,1072.15,789.9,960.26,932301,61.73,EQ
2023-03-03,967.05,969.75,958.15,966.9,965.3,2215832,2137651988.35,1072.15,789.9,964.72,1329828,60.01,EQ
2023-03-06,970.0,979.5,963.8,965.25,966.9,1989152,1932014281.2,1072.15,789.9,971.28,1233835,62.03,EQ
2023-03-08,960.0,965.0,947.0,957.5,965.25,4734482,4509757569.95,1072.15,789.9,952.53,3487313,73.66,EQ
2023-03-09,957.5,959.4,947.15,952.7,957.5,2994556,2848571556.5,1072.15,789.9,951.25,2133014,71.23,EQ
2023-03-10,946.5,957.5,946.1,955.55,952.7,2001392,1904461088.9,1072.15,789.9,951.57,1483151,74.11,EQ
2023-03-13,955.1,959.9,947.55,954.1,955.55,1412106,1346469654.1,1072.15,789.9,953.52,959476,67.95,EQ
2023-03-14,953.5,963.75,950.3,957.2,954.1,1879695,1802412819.2,1072.15,789.9,958.89,1115461,59.34,EQ
2023-03-15,952.0,964.9,949.35,951.4,957.2,2189113,2090946252.6,1072.15,789.9,955.16,1423110,65.01,EQ
2023-03-16,955.25,970.0,951.7,967.4,951.4,2228093,2148814484.9,1072.15,789.9,964.42,1466794,65.83,EQ
2023-03-17,968.55,968.7,952.75,957.7,967.4,2218687,2127550876.65,1072.15,789.9,958.92,1581196,71.27,EQ
2023-03-20,950.0,962.65,947.35,961.2,957.7,1955757,1867130019.5,1072.15,789.9,954.68,1335535,68.29,EQ
2023-03-21,965.0,965.0,953.25,956.2,961.2,1687239,1616423750.9,1072.15,789.9,958.03,1194974,70.82,EQ
2023-03-22,957.0,974.4,956.6,972.05,956.2,1626129,1569572053.8,1072.15,789.9,965.22,1013272,62.31,EQ
2023-03-23,975.0,982.95,972.0,977.65,972.05,1857923,1817981219.45,1072.15,789.9,978.5,1026333,55.24,EQ
2023-03-24,977.6,979.0,968.0,972.85,977.65,1534322,1494288345.25,1072.15,789.9,973.91,986057,64.27,EQ
2023-03-27,980.0,990.95,963.0,983.45,972.85,2473222,2431239232.85,1072.15,789.9,983.03,1276452,51.61,EQ
2023-03-28,987.0,987.8,976.3,984.2,983.45,1394675,1369024857.8,1072.15,789.9,981.61,769998,55.21,EQ
2023-03-29,985.65,996.5,979.0,991.9,984.2,3045795,3009185891.5,1072.15,789.9,987.98,1935101,63.53,EQ
2023-03-31,995.2,995.2,981.4,983.1,991.9,1822710,1796644768.8,1072.15,789.9,985.7,1120456,61.47,EQ
2023-04-03,981.0,988.0,976.2,979.05,983.1,1671570,1637904001.0,1072.15,789.9,979.86,1037017,62.04,EQ
2023-04-05,985.0,999.0,975.3,997.15,979.05,1544121,1525238632.45,1072.15,789.9,987.77,888376,57.53,EQ
2023-04-06,997.15,1014.0,993.4,1012.1,997.15,1423990,1434652060.2,1072.15,789.9,1007.49,691349,48.55,EQ
2023-04-10,1015.0,1016.95,1006.65,1008.6,1012.1,1110974,1123570962.35,1072.15,789.9,1011.34,654451,58.91,EQ
2023-04-11,1008.6,1022.25,1007.55,1009.25,1008.6,1786844,1812468160.55,1072.15,789.9,1014.34,1085560,60.75,EQ
2023-04-12,1015.5,1020.2,1005.25,1016.7,1009.25,3246327,3284217789.0,1072.15,789.9,1011.67,2352525,72.47,EQ
2023-04-13,1022.3,1023.85,1002.0,1003.5,1016.7,1445693,1455992867.7,1072.15,789.9,1007.12,929323,64.28,EQ
2023-04-17,999.45,1009.9,995.05,998.7,1003.5,1768817,1768240346.5,1072.15,789.9,999.67,1224494,69.23,EQ
2023-04-18,999.0,1006.25,988.3,1004.8,998.7,1217390,1213530740.9,1072.15,789.9,996.83,548587,45.06,EQ
2023-04-19,1003.5,1009.4,993.0,995.5,1004.8,2174563,2173660398.65,1072.15,789.9,999.58,1203120,55.33,EQ
2023-04-20,999.1,1002.1,983.75,987.75,995.5,1638094,1623191706.9,1072.15,789.9,990.9,865957,52.86,EQ
2023-04-21,994.3,994.3,984.95,989.45,987.75,1216575,1203387148.6,1072.15,789.9,989.16,700226,57.56,EQ
2023-04-24,975.0,982.5,959.25,979.15,989.45,3485350,3378165387.2,1072.15,789.9,969.25,2070982,59.42,EQ
2023-04-25,980.0,982.9,967.0,972.5,979.15,2377746,2312832100.4,1072.15,789.9,972.7,1590012,66.87,EQ
2023-04-26,975.8,976.8,963.2,971.25,972.5,2911028,2816425935.3,1072.15,789.9,967.5,2280298,78.33,EQ
2023-04-27,968.0,981.6,963.55,978.7,971.25,2777173,2689356030.45,1072.15,789.9,968.38,1909597,68.76,EQ
2023-04-28,984.95,992.5,979.15,987.65,978.7,2009995,1986284361.0,1072.15,789.9,988.2,1233155,61.35,EQ
2023-05-02,987.65,988.9,970.3,973.05,987.65,3152556,3077529337.95,1072.15,789.9,976.2,2079651,65.97,EQ
2023-05-03,970.5,972.4,959.5,963.6,973.05,3087472,2979469945.2,1072.15,789.9,965.02,1826960,59.17,EQ
2023-05-04,967.65,975.9,965.15,974.0,963.6,1197830,1163338179.1,1072.15,789.9,971.2,691440,57.72,EQ
2023-05-05,974.0,977.25,967.85,970.45,974.0,1062645,1033104234.7,1072.15,789.9,972.2,630637,59.35,EQ
2023-05-08,962.0,969.0,961.0,961.85,970.45,2676958,2581882515.2,1072.15,789.9,964.48,1895650,70.81,EQ
2023-05-09,961.9,966.85,949.5,957.45,961.85,6902170,6582958419.35,1072.15,789.9,953.75,5372926,77.84,EQ
2023-05-10,957.0,959.95,951.6,953.8,957.45,2180917,2080841547.95,1072.15,789.9,954.11,1751954,80.33,EQ
2023-05-11,953.8,963.9,952.0,961.05,953.8,1296607,1242851614.1,1072.15,789.9,958.54,749531,57.81,EQ
2023-05-12,961.0,963.1,952.0,956.0,961.05,2014927,1929729971.85,1072.15,789.9,957.72,1458344,72.38,EQ
2023-05-15,953.0,955.75,948.05,953.0,956.0,1814239,1726871573.1,1072.15,789.9,951.84,1198434,66.06,EQ
2023-05-16,953.0,962.55,938.0,940.95,953.0,2625163,2490473944.3,1072.15,789.9,948.69,1842109,70.17,EQ
2023-05-17,941.25,945.3,928.85,935.95,940.95,2956985,2769237987.25,1072.15,789.9,936.51,2352945,79.57,EQ
2023-05-18,943.0,943.0,922.45,929.65,935.95,3014019,2799563874.4,1072.15,789.9,928.85,2021825,67.08,EQ
2023-05-19,932.0,934.4,924.3,925.85,929.65,1309343,1212736699.15,1072.15,789.9,926.22,940701,71.85,EQ
2023-05-22,925.85,942.75,922.85,937.45,925.85,1382485,1296824080.7,1072.15,789.9,938.04,807623,58.42,EQ
2023-05-23,937.5,956.2,929.1,931.6,937.45,3057684,2863843773.85,1072.15,789.9,936.61,2264258,74.05,EQ
2023-05-24,935.5,954.8,932.6,952.15,931.6,2953574,2792427398.1,1072.15,789.9,945.44,1568457,53.1,EQ
2023-05-25,949.7,951.7,942.7,945.0,952.15,2331464,2204164442.1,1072.15,789.9,945.4,1640301,70.35,EQ
2023-05-26,943.95,976.7,937.0,969.9,945.0,4137189,3967651622.65,1072.15,789.9,959.02,1681829,40.65,EQ
2023-05-29,969.95,973.25,946.4,968.45,969.9,5344765,5121168398.3,1072.15,789.9,958.17,2742235,51.31,EQ
