Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,114.4,119.7,113.75,119.25,112.65,143444095,16899938209.6,1386.7,95.0,117.82,47023511,32.78,EQ
2023-01-03,119.8,120.5,117.75,118.45,119.25,74419090,8859042586.45,1386.7,95.0,119.04,20027658,26.91,EQ
2023-01-04,118.75,119.05,115.35,115.75,118.45,55634568,6484836352.55,1386.7,95.0,116.56,17954484,32.27,EQ
2023-01-05,116.5,117.0,114.5,116.55,115.75,58806907,6806057647.8,1386.7,95.0,115.74,18665056,31.74,EQ
2023-01-06,117.0,117.85,115.25,115.65,116.55,58551863,6825354273.05,1386.7,95.0,116.57,20167939,34.44,EQ
2023-01-09,116.9,118.1,116.55,117.55,115.65,37763131,4438628753.1,1386.7,95.0,117.54,13017072,34.47,EQ
2023-01-10,117.65,119.75,117.55,118.85,117.55,56750710,6732375346.95,1386.7,95.0,118.63,23267439,41.0,EQ
2023-01-11,119.45,120.35,118.0,118.85,118.85,49321252,5871210496.25,1386.7,95.0,119.04,18092757,36.68,EQ
2023-01-12,118.95,119.25,117.6,118.1,118.85,33740024,3986728182.75,1386.7,95.0,118.16,11915232,35.31,EQ
2023-01-13,118.55,121.6,118.15,120.45,118.1,68884010,8287320121.45,1386.7,95.0,120.31,22841088,33.16,EQ
2023-01-16,121.45,121.45,118.8,119.95,120.45,44362359,5314417958.05,1386.7,95.0,119.8,20917533,47.15,EQ
2023-01-17,119.75,119.9,118.0,119.35,119.95,27880531,3317731473.65,1386.7,95.0,119.0,10116199,36.28,EQ
2023-01-18,120.0,123.0,120.0,122.45,119.35,64749065,7904467813.2,1386.7,95.0,122.08,20232228,31.25,EQ
2023-01-19,121.8,124.3,121.15,123.55,122.45,53564076,6609306267.85,1386.7,95.0,123.39,21075519,39.35,EQ
2023-01-20,123.4,124.2,122.0,122.95,123.55,37784498,4657678101.5,1386.7,95.0,123.27,14683427,38.86,EQ
2023-01-23,123.4,123.85,121.5,122.0,122.95,28601260,3506407861.1,1386.7,95.0,122.6,10880240,38.04,EQ
2023-01-24,122.5,122.55,120.1,120.4,122.0,27707765,3353043685.55,1386.7,95.0,121.01,10964423,39.57,EQ
2023-01-25,120.35,122.25,120.1,121.0,120.4,46522102,5624860373.1,1386.7,95.0,120.91,20399060,43.85,EQ
2023-01-27,121.9,123.25,119.1,120.65,121.0,58771746,7113714095.55,1386.7,95.0,121.04,27790525,47.29,EQ
2023-01-30,120.45,121.1,116.9,118.75,120.65,46551837,5515300590.95,1386.7,95.0,118.48,19606847,42.12,EQ
2023-01-31,118.75,120.45,117.75,119.7,118.75,43986769,5255511455.05,1386.7,95.0,119.48,20213553,45.95,EQ
2023-02-01,120.1,124.15,119.3,122.05,119.7,72919626,8908255658.1,1386.7,95.0,122.17,24593935,33.73,EQ
2023-02-02,121.95,122.5,118.4,119.95,122.05,38768010,4640608722.05,1386.7,95.0,119.7,15156490,39.1,EQ
2023-02-03,120.05,121.0,117.2,120.35,119.95,46977350,5598705778.3,1386.7,95.0,119.18,18776888,39.97,EQ
2023-02-06,120.0,120.0,117.0,117.45,120.35,49546361,5838695548.5,1386.7,95.0,117.84,24862878,50.18,EQ
2023-02-07,112.6,115.35,110.55,111.45,117.45,110953246,12485538285.3,1386.7,95.0,112.53,38376423,34.59,EQ
2023-02-08,111.45,112.75,110.1,111.45,111.45,66523699,7415660810.8,1386.7,95.0,111.47,24833734,37.33,EQ
2023-02-09,112.15,112.95,109.95,111.25,111.45,64710455,7190126333.05,1386.7,95.0,111.11,32457777,50.16,EQ
