Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,718.6,724.0,711.95,722.0,716.15,1259229,904978831.7,848.0,607.5,718.68,531438,42.2,EQ
2023-01-03,722.5,727.25,717.2,719.35,722.0,1277112,920872290.1,848.0,607.5,721.06,545983,42.75,EQ
2023-01-04,721.2,722.1,712.0,715.65,719.35,1354737,970766528.75,848.0,607.5,716.57,641073,47.32,EQ
2023-01-05,719.25,724.7,713.4,720.3,715.65,1407487,1012050813.55,848.0,607.5,719.05,659087,46.83,EQ
2023-01-06,721.4,729.35,715.35,718.15,720.3,1209522,872064141.95,848.0,607.5,721.0,431451,35.67,EQ
2023-01-09,724.0,736.15,722.6,734.2,718.15,1358106,989642195.25,848.0,607.5,728.69,712723,52.48,EQ
2023-01-10,735.85,735.85,720.0,724.65,734.2,1484340,1078190729.75,848.0,607.5,726.38,821418,55.34,EQ
2023-01-11,726.0,727.7,715.4,717.8,724.65,1400355,1007694962.1,848.0,607.5,719.6,739003,52.77,EQ
2023-01-12,721.4,722.9,714.35,717.8,717.8,1272850,913784406.35,848.0,607.5,717.9,628191,49.35,EQ
2023-01-13,721.0,723.6,714.4,718.8,717.8,1310587,941444518.9,848.0,607.5,718.34,716649,54.68,EQ
2023-01-16,721.45,723.0,710.5,714.05,718.8,1079570,771585531.8,848.0,607.5,714.72,584591,54.15,EQ
2023-01-17,715.0,723.0,713.6,719.2,714.05,1349682,969579340.55,848.0,607.5,718.38,785510,58.2,EQ
2023-01-18,721.25,734.0,721.05,732.35,719.2,1430862,1040552001.85,848.0,607.5,727.22,761546,53.22,EQ
2023-01-19,732.0,748.85,730.0,747.55,732.35,3553403,2644632727.8,848.0,607.5,744.25,1813951,51.05,EQ
2023-01-20,747.6,748.4,735.2,737.8,747.55,979497,726485933.5,848.0,607.5,741.69,488114,49.83,EQ
2023-01-23,742.95,753.45,738.2,749.45,737.8,2526843,1892227804.7,848.0,607.5,748.85,1278377,50.59,EQ
2023-01-24,750.0,753.6,743.0,745.95,749.45,1132275,846036795.15,848.0,607.5,747.2,677862,59.87,EQ
2023-01-25,744.0,746.75,735.25,737.95,745.95,1865988,1379403506.95,848.0,607.5,739.23,1133271,60.73,EQ
2023-01-27,741.65,756.7,735.2,744.7,737.95,4903817,3650296084.05,848.0,607.5,744.38,3088510,62.98,EQ
2023-01-30,748.75,750.55,737.6,745.15,744.7,1189091,884723551.8,848.0,607.5,744.03,549933,46.25,EQ
2023-01-31,748.0,766.7,748.0,757.2,745.15,3629320,2752955725.55,848.0,607.5,758.53,1818264,50.1,EQ
2023-02-01,765.1,771.6,730.0,742.15,757.2,3623038,2718870166.6,848.0,607.5,750.44,1825348,50.38,EQ
2023-02-02,741.0,744.95,684.25,696.4,742.15,7698238,5393495041.8,848.0,607.5,700.61,3740245,48.59,EQ
2023-02-03,701.1,718.0,697.5,715.7,696.4,2601859,1843848981.4,848.0,607.5,708.67,1010341,38.83,EQ
2023-02-06,715.5,716.7,701.35,714.55,715.7,1366976,971027466.95,848.0,607.5,710.35,620121,45.36,EQ
2023-02-07,715.4,716.95,701.15,709.25,714.55,1571287,1113327888.55,848.0,607.5,708.55,813064,51.75,EQ
2023-02-08,711.0,723.8,710.0,722.65,709.25,1050880,754041283.2,848.0,607.5,717.53,493292,46.94,EQ
2023-02-09,721.05,722.75,714.05,717.1,722.65,1097590,787673890.65,848.0,607.5,717.64,638809,58.2,EQ
2023-02-10,717.1,729.35,716.55,726.9,717.1,1282246,929564282.05,848.0,607.5,724.95,434185,33.86,EQ
2023-02-13,730.0,736.4,725.0,733.8,726.9,1265376,925950193.15,848.0,607.5,731.76,603949,47.73,EQ
2023-02-14,736.5,766.95,735.6,761.6,733.8,7326901,5560052496.7,848.0,607.5,758.85,2445821,33.38,EQ
2023-02-15,760.95,770.4,759.2,769.35,761.6,2786352,2133292826.35,848.0,607.5,765.62,1517995,54.48,EQ
2023-02-16,770.0,773.7,767.0,770.35,769.35,1575168,1213902172.8,848.0,607.5,770.65,996720,63.28,EQ
2023-02-17,763.0,780.0,763.0,770.15,770.35,2374926,1834566024.7,848.0,607.5,772.47,1184816,49.89,EQ
2023-02-20,762.0,769.75,755.0,757.95,770.15,1149759,876218856.05,848.0,607.5,762.09,596738,51.9,EQ
2023-02-21,761.75,764.1,744.3,747.15,757.95,1964019,1478827395.25,848.0,607.5,752.96,1196691,60.93,EQ
2023-02-22,745.05,749.3,736.55,739.3,747.15,1950321,1446716529.9,848.0,607.5,741.78,1295755,66.44,EQ
2023-02-23,743.0,756.65,740.0,745.15,739.3,2936268,2196972172.6,848.0,607.5,748.22,1488210,50.68,EQ
2023-02-24,748.85,754.8,736.0,738.3,745.15,2100294,1562848825.45,848.0,607.5,744.11,1306308,62.2,EQ
2023-02-27,736.0,738.0,704.0,708.3,738.3,2252550,1607313484.9,848.0,607.5,713.55,886633,39.36,EQ
2023-02-28,708.0,710.6,693.25,694.2,708.3,2676043,1870561599.65,848.0,607.5,699.0,1586471,59.28,EQ
2023-03-01,699.2,714.45,694.55,713.3,694.2,1835234,1296071154.55,848.0,607.5,706.22,638116,34.77,EQ
